ID,Name,lotItemId02,lotItemBasePoint02
214000000,Omen Cleaver,8060000,40
214000100,Warped Axe,15010000,40
214000990,Omen Cleaver,8060000,40
300000000,Soldier's Crossbow,43000000,20
300000006,Bolt,52000000,100
300000007,Lordsworn's Bolt,52080000,20
300000105,Bolt,52000000,100
300000106,Lordsworn's Bolt,52080000,20
300000600,Spear,16010000,20
300000700,Torchpole,16080000,20
300000800,Torchpole,16080000,20
300014000,Soldier's Crossbow,43000000,20
300014006,Bolt,52000000,100
300014007,Lordsworn's Bolt,52080000,20
300014105,Bolt,52000000,100
300014106,Lordsworn's Bolt,52080000,20
300014600,Spear,16010000,20
300014700,Torchpole,16080000,20
300014800,Torchpole,16080000,20
300051000,Soldier's Crossbow,43000000,20
300051006,Bolt,52000000,100
300051007,Lordsworn's Bolt,52080000,20
300051105,Bolt,52000000,100
300051106,Lordsworn's Bolt,52080000,20
300051600,Spear,16010000,20
300051700,Torchpole,16080000,20
300051800,Torchpole,16080000,20
301000000,Banished Knight's Greatsword,3080000,40
301000001,Banished Knight's Shield,31030000,40
301000100,Banished Knight's Greatsword,3080000,40
301000101,Banished Knight's Shield,31030000,40
301000200,Banished Knight's Greatsword,3080000,40
301000201,Banished Knight's Shield,31030000,40
301000300,Banished Knight's Greatsword,3080000,40
301000305,Banished Knight's Greatsword,3080000,40
301000400,Banished Knight's Greatsword,3080000,40
301000405,Banished Knight's Greatsword,3080000,40
301000500,Banished Knight's Greatsword,3080000,40
301000505,Banished Knight's Greatsword,3080000,40
301000600,Banished Knight's Halberd,18030000,40
301000700,Banished Knight's Halberd,18030000,40
301000800,Banished Knight's Halberd,18030000,40
302000000,Crescent Moon Axe,15030000,40
302014000,Crescent Moon Axe,15030000,40
302051000,Crescent Moon Axe,15030000,40
306000000,Executioner's Greataxe,15080000,40
306000100,Glaive,18090000,40
307000000,Celebrant's Cleaver,14060000,5
307000200,Celebrant's Sickle,1060000,5
307000400,Celebrant's Rib-Rake,16060000,5
308000000,Forked Hatchet,14010000,20
308000010,Forked Hatchet,14010000,20
308000020,Forked Hatchet,14010000,20
308000030,Forked Hatchet,14010000,20
308000040,Forked Hatchet,14010000,20
308000050,Forked Hatchet,14010000,20
308000100,Forked Hatchet,14010000,20
308000110,Forked Hatchet,14010000,20
308000120,Forked Hatchet,14010000,20
308000130,Forked Hatchet,14010000,20
308000140,Forked Hatchet,14010000,20
308000150,Forked Hatchet,14010000,20
308000200,Forked Hatchet,14010000,20
308000210,Forked Hatchet,14010000,20
308000220,Forked Hatchet,14010000,20
308000230,Forked Hatchet,14010000,20
308000240,Forked Hatchet,14010000,20
308000250,Forked Hatchet,14010000,20
308000300,Forked Hatchet,14010000,20
308000310,Forked Hatchet,14010000,20
308000320,Forked Hatchet,14010000,20
308000330,Forked Hatchet,14010000,20
308000340,Forked Hatchet,14010000,20
308000350,Forked Hatchet,14010000,20
308000400,Forked Greatsword,3010000,20
308000410,Forked Greatsword,3010000,20
308000420,Forked Greatsword,3010000,20
308000430,Forked Greatsword,3010000,20
308000440,Forked Greatsword,3010000,20
308000450,Forked Greatsword,3010000,20
308000510,Forked Greatsword,3010000,20
308000520,Forked Greatsword,3010000,20
308000530,Forked Greatsword,3010000,20
308000540,Forked Greatsword,3010000,20
308000550,Forked Greatsword,3010000,20
308000610,Forked Greatsword,3010000,20
308000620,Forked Greatsword,3010000,20
308000630,Forked Greatsword,3010000,20
308000640,Forked Greatsword,3010000,20
308000650,Forked Greatsword,3010000,20
308000710,Forked Hatchet,14010000,20
308000720,Forked Hatchet,14010000,20
308000730,Forked Hatchet,14010000,20
308000740,Forked Hatchet,14010000,20
308000750,Forked Hatchet,14010000,20
317000000,Albinauric Bow,41010000,40
317000006,Arrow,50000000,100
317000007,St. Trina's Arrow,50040000,25
317000100,Albinauric Bow,41010000,40
317000106,Arrow,50000000,100
317000107,St. Trina's Arrow,50040000,25
335000600,Rotten Crystal Spear,16160000,80
335000700,Rotten Crystal Staff,33270000,80
336000000,Jawbone Axe,14030000,20
336000003,Dwelling Arrow,50100000,100
336000100,Greathorn Hammer,12010000,20
336000700,Jawbone Axe,14030000,20
336000703,Dwelling Arrow,50100000,100
340000000,Duelist Greataxe,23040000,40
340000200,Battle Hammer,12020000,40
345000000,Iron Cleaver,14040000,20
345000100,Misbegotten Shortbow,40010000,20
345100000,Longhaft Axe,15050000,20
346000000,Iron Greatsword,3020000,40
347000000,Albinauric Shield,31040000,20
347000200,Albinauric Shield,31040000,20
347000400,Curved Club,11030000,20
347000500,Curved Club,11030000,20
347000700,Ripple Crescent Halberd,18060000,20
347000800,Ripple Crescent Halberd,18060000,20
347100000,Curved Great Club,12080000,40
350000101,Bolt,52000000,100
350000200,Grave Scythe,19010000,20
350000300,Sun Realm Shield,31050000,20
350000400,Bandit's Curved Sword,7040000,15
350000402,Bandit's Curved Sword,7040000,15
351000000,Scimitar,7140000,20
351000001,Scripture Wooden Shield,30080000,20
351000100,Scimitar,7140000,20
351000200,Scimitar,7140000,20
351000300,Grossmesser,7150000,20
351000400,Grossmesser,7150000,20
351000500,Longbow,41000000,20
351000502,Arrow,50000000,100
361000000,Envoy's Horn,11100000,20
361000100,Envoy's Long Horn,12160000,40
361000200,Envoy's Greathorn,23030000,20
365000000,Guardian's Swordspear,18110000,20
365000100,Guardian's Swordspear,18110000,20
365000200,Guardian's Swordspear,18110000,20
365033101,Guardian's Swordspear,18110000,20
366000000,Weathered Straight Sword,2050000,20
366000100,Weathered Straight Sword,2050000,20
366000200,Weathered Straight Sword,2050000,20
366000300,Weathered Straight Sword,2050000,20
366000400,Weathered Straight Sword,2050000,20
370000105,Perfumer's Shield,30010000,20
370100204,Perfumer's Shield,30010000,20
370200000,Academy Glintstone Staff,33200000,20
370200100,Academy Glintstone Staff,33200000,20
370200200,Lazuli Glintstone Sword,2250000,20
370200300,Academy Glintstone Staff,33200000,20
370200400,Academy Glintstone Staff,33200000,20
370300003,Perfumer's Bolt,52020000,100
370300004,Red Branch Shortbow,40020000,40
370300100,Perfumer's Bolt,52020000,250
370300104,Red Branch Shortbow,40020000,40
370400000,Stone Club,11140000,40
370400100,Stone Club,11140000,40
370400200,Stone Club,11140000,40
370400300,Stone Club,11140000,40
370400700,Stone Club,11140000,40
375000000,Clayman's Harpoon,16030000,20
380000000,Cleanrot Knight's Sword,5010000,40
380000005,Cleanrot Spear,16040000,10
380000010,Cleanrot Knight's Sword,5010000,40
380000015,Cleanrot Spear,16040000,10
380000020,Cleanrot Knight's Sword,5010000,40
380000025,Cleanrot Spear,16040000,10
380000100,Halo Scythe,19020000,20
380000101,Cleanrot Knight's Sword,5010000,40
380000110,Halo Scythe,19020000,20
380000111,Cleanrot Knight's Sword,5010000,40
380000120,Halo Scythe,19020000,20
380000121,Cleanrot Knight's Sword,5010000,40
381000000,Pest's Glaive,18010000,40
381000100,Pest's Glaive,18010000,40
381000200,Pest's Glaive,18010000,40
381054000,Pest's Glaive,18010000,40
381054100,Pest's Glaive,18010000,40
381054200,Pest's Glaive,18010000,40
385000000,Shortbow,40000000,20
385000004,Arrow,50000000,100
385000200,Spiked Spear,16140000,20
390000000,Monk's Flamemace,11090000,40
390000100,Monk's Flameblade,8070000,40
391000200,Thorned Whip,20020000,40
391000300,Thorned Whip,20020000,40
395000100,Man-Serpent's Shield,30020000,40
395000200,Magma Blade,7050000,10
395000201,Man-Serpent's Shield,30020000,30
395000300,Gelmir Glintstone Staff,33050000,100
397000000,Beastman's Curved Sword,7010000,20
397000100,Beastman's Curved Sword,7010000,20
397000101,Beastman's Jar-Shield,30060000,20
397000200,Beastman's Curved Sword,7010000,20
397000300,Beastman's Curved Sword,7010000,20
397000301,Beastman's Jar-Shield,30060000,20
397000350,Beastman's Curved Sword,7010000,20
397000500,Beastman's Jar-Shield,30060000,20
397000600,Beastman's Jar-Shield,30060000,20
397000700,Beastman's Cleaver,8080000,20
397000750,Beastman's Cleaver,8080000,20
397000800,Beastman's Cleaver,8080000,20
405000000,Dismounter,8020000,40
410000000,Falchion,7000000,20
410000001,Rickety Shield,30030000,20
410000010,Falchion,7000000,20
410000011,Rickety Shield,30030000,20
410000100,Falchion,7000000,20
410000110,Falchion,7000000,20
410000200,Club,11010000,20
410000210,Club,11010000,20
410100000,Spiked Club,11070000,20
410100010,Spiked Club,11070000,20
411000000,Great Knife,1090000,20
412000000,Bloodstained Dagger,1140000,40
414000000,Serpent Arrow,50020000,50
414000050,Serpent Arrow,50020000,50
414000200,Serpent Arrow,50020000,50
414033200,Serpent Arrow,50020000,50
421000000,Warhawk's Talon,2240000,20
426050000,Watchdog's Greatsword,4010000,80
426050100,Watchdog's Greatsword,4010000,80
426052000,Watchdog's Greatsword,4010000,80
426052100,Watchdog's Greatsword,4010000,80
430000000,Noble's Slender Sword,2230000,5
430000010,Noble's Slender Sword,2230000,5
430000020,Noble's Slender Sword,2230000,5
430000100,Noble's Estoc,5060000,5
430000200,Glintstone Staff,33000000,20
430030000,Noble's Slender Sword,2230000,5
430030010,Noble's Slender Sword,2230000,5
430030020,Noble's Slender Sword,2230000,5
430030100,Noble's Estoc,5060000,5
430030200,Glintstone Staff,33000000,20
430050100,Noble's Estoc,5060000,5
431100000,Lordsworn's Straight Sword,2040000,20
431100001,Brass Shield,31130000,20
431100006,Bolt,52000000,100
431100007,Lordsworn's Bolt,52080000,50
431100010,Lordsworn's Straight Sword,2040000,20
