ID,Name,EquipType,Category
4000,Glintstone Pebble,3,1
4001,Great Glintstone Shard,3,1
4010,Swift Glintstone Shard,3,1
4020,Glintstone Cometshard,3,1
4021,Comet,3,1
4030,Shard Spiral,3,1
4040,Glintstone Stars,3,1
4050,Star Shower,3,1
4060,Crystal Barrage,3,1
4070,Glintstone Arc,3,1
4080,Cannon of Haima,3,1
4090,Crystal Burst,3,1
4100,Shatter Earth,3,1
4110,Rock Blaster,3,1
4120,Gavel of Haima,3,1
4130,Terra Magicus,3,1
4140,Starlight,3,1
4200,Comet Azur,3,1
4210,Founding Rain of Stars,3,1
4220,Stars of Ruin,3,1
4300,Glintblade Phalanx,3,1
4301,Carian Phalanx,3,1
4302,Greatblade Phalanx,3,1
4360,Rennala's Full Moon,3,1
4361,Ranni's Dark Moon,3,1
4370,Magic Downpour,3,1
4380,Loretta's Greatbow,3,1
4381,Loretta's Mastery,3,1
4390,Magic Glintblade,3,1
4400,Glintstone Icecrag,3,1
4410,Zamor Ice Storm,3,1
4420,Freezing Mist,3,1
4430,Carian Greatsword,3,1
4431,Adula's Moonblade,3,1
4440,Carian Slicer,3,1
4450,Carian Piercer,3,1
4460,Scholar's Armament,3,1
4470,Scholar's Shield,3,1
4480,Lucidity,3,1
4490,Frozen Armament,3,1
4500,Shattering Crystal,3,1
4510,Crystal Release,3,1
4520,Crystal Torrent,3,1
4600,Ambush Shard,3,1
4610,Night Shard,3,1
4620,Night Comet,3,1
4630,Thops's Barrier,3,1
4640,Carian Retaliation,3,1
4650,Eternal Darkness,3,1
4660,Unseen Blade,3,1
4670,Unseen Form,3,1
4700,Meteorite,3,1
4701,Meteorite of Astel,3,1
4710,Rock Sling,3,1
4720,Gravity Well,3,1
4721,Collapsing Stars,3,1
4800,Magma Shot,3,1
4810,Gelmir's Fury,3,1
4820,Roiling Magma,3,1
4830,Rykard's Rancor,3,1
4900,Briars of Sin,3,1
4910,Briars of Punishment,3,1
5000,Rancorcall,3,1
5001,Ancient Death Rancor,3,1
5010,Explosive Ghostflame,3,1
5020,Fia's Mist,3,1
5030,Tibia's Summons,3,1
5100,Oracle Bubbles,3,1
5110,Great Oracular Bubble,3,1
6500,Night Maiden's Mist,3,1
2004300,Miriam's Vanishing,3,1
2004310,Glintblade Trio,3,1
2004320,Rellana's Twin Moons,3,1
2004500,Glintstone Nail,3,1
2004510,Glintstone Nails,3,1
2004700,Blades of Stone,3,1
2004710,Gravitational Missile,3,1
2004900,Mantle of Thorns,3,1
2004910,Impenetrable Thorns,3,1
2005000,Rings of Spectral Light,3,1
2006200,Vortex of Putrescence,3,1
2006210,Mass of Putrescence,3,1
2007410,Fleeting Microcosm,3,1
2007420,Cherishing Fingers,3,1
5040,Death Lightning,3,1
6000,Catch Flame,3,1
6001,O- Flame!,3,1
6010,Flame Sling,3,1
6020,Flame- Fall Upon Them,3,1
6030,Whirl- O Flame!,3,1
6040,Flame- Cleanse Me,3,1
6050,Flame- Grant Me Strength,3,1
6060,Flame- Protect Me,3,1
6100,Giantsflame Take Thee,3,1
6110,Flame of the Fell God,3,1
6120,Burn- O Flame!,3,1
6210,Black Flame,3,1
6220,Surge- O Flame!,3,1
6230,Scouring Black Flame,3,1
6240,Black Flame Ritual,3,1
6250,Black Flame Blade,3,1
6260,Black Flame's Protection,3,1
6270,Noble Presence,3,1
6300,Bloodflame Talons,3,1
6310,Bloodboon,3,1
6320,Bloodflame Blade,3,1
6330,Barrier of Gold,3,1
6340,Protection of the Erdtree,3,1
6400,Rejection,3,1
6410,Wrath of Gold,3,1
6420,Urgent Heal,3,1
6421,Heal,3,1
6422,Great Heal,3,1
6423,Lord's Heal,3,1
6424,Erdtree Heal,3,1
6430,Blessing's Boon,3,1
6431,Blessing of the Erdtree,3,1
6440,Cure Poison,3,1
6441,Lord's Aid,3,1
6450,Flame Fortification,3,1
6460,Magic Fortification,3,1
6470,Lightning Fortification,3,1
6480,Divine Fortification,3,1
6490,Lord's Divine Fortification,3,1
6510,Assassin's Approach,3,1
6520,Shadow Bait,3,1
6530,Darkness,3,1
6600,Golden Vow,3,1
6700,Discus of Light,3,1
6701,Triple Rings of Light,3,1
6710,Radagon's Rings of Light,3,1
6720,Elden Stars,3,1
6730,Law of Regression,3,1
6740,Immutable Shield,3,1
6750,Litany of Proper Death,3,1
6760,Law of Causality,3,1
6770,Order's Blade,3,1
6780,Order Healing,3,1
6800,Bestial Sling,3,1
6810,Stone of Gurranq,3,1
6820,Beast Claw,3,1
6830,Gurranq's Beast Claw,3,1
6840,Bestial Vitality,3,1
6850,Bestial Constitution,3,1
6900,Lightning Spear,3,1
6910,Ancient Dragons' Lightning Strike,3,1
6920,Lightning Strike,3,1
6921,Frozen Lightning Spear,3,1
6930,Honed Bolt,3,1
6940,Ancient Dragons' Lightning Spear,3,1
6941,Fortissax's Lightning Spear,3,1
6950,Lansseax's Glaive,3,1
6960,Electrify Armament,3,1
6970,Vyke's Dragonbolt,3,1
6971,Dragonbolt Blessing,3,1
7000,Dragonfire,3,1
7001,Agheel's Flame,3,1
7010,Magma Breath,3,1
7011,Theodorix's Magma,3,1
7020,Dragonice,3,1
7021,Borealis's Mist,3,1
7030,Rotten Breath,3,1
7031,Ekzykes's Decay,3,1
7040,Glintstone Breath,3,1
7041,Smarag's Glintstone Breath,3,1
7050,Placidusax's Ruin,3,1
7060,Dragonclaw,3,1
7080,Dragonmaw,3,1
7090,Greyoll's Roar,3,1
7200,Pest Threads,3,1
7210,Swarm of Flies,3,1
7220,Poison Mist,3,1
7230,Poison Armament,3,1
7240,Scarlet Aeonia,3,1
7300,Inescapable Frenzy,3,1
7310,The Flame of Frenzy,3,1
7311,Unendurable Frenzy,3,1
7320,Frenzied Burst,3,1
7330,Howl of Shabriri,3,1
7500,Aspects of the Crucible: Tail,3,1
7510,Aspects of the Crucible: Horns,3,1
7520,Aspects of the Crucible: Breath,3,1
7530,Black Blade,3,1
7900,Fire's Deadly Sin,3,1
7903,Golden Lightning Fortification,3,1
2006300,Furious Blade of Ansbach,3,1
2006400,Heal from Afar,3,1
2006650,Aspects of the Crucible: Thorns,3,1
2006660,Aspects of the Crucible: Bloom,3,1
2006670,Minor Erdtree,3,1
2006680,Land of Shadow,3,1
2006690,Wrath from Afar,3,1
2006700,Light of Miquella,3,1
2006710,Multilayered Ring of Light,3,1
2006800,Roar of Rugalea,3,1
2006900,Knight's Lightning Spear,3,1
2006910,Dragonbolt of Florissax,3,1
2006920,Electrocharge,3,1
2007000,Bayle's Tyranny,3,1
2007010,Bayle's Flame Lightning,3,1
2007020,Ghostflame Breath,3,1
2007200,Rotten Butterflies,3,1
2007210,Pest-Thread Spears,3,1
2007300,Midra's Flame of Frenzy,3,1
2007600,Watchful Spirit,3,1
2007700,Golden Arcs,3,1
2007710,Giant Golden Arc,3,1
2007720,Spira,3,1
2007730,Divine Beast Tornado,3,1
2007740,Divine Bird Feathers,3,1
2007800,Fire Serpent,3,1
2007810,Rain of Fire,3,1
2007820,Messmer's Orb,3,1
