WeaponClass,ID,Name,EquipType,Category,WepType
Glintstone Staff,33200000,Academy Glintstone Staff,0,2,57
Bow,41010000,Albinauric Bow,0,2,51
Medium Shield,31040000,Albinauric Shield,0,2,67
Arrow,50000000,Arrow,0,2,81
Curved Sword,7040000,Bandit's Curved Sword,0,2,9
Greatsword,3080000,Banished Knight's Greatsword,0,2,5
Halberd,18030000,Banished Knight's Halberd,0,2,29
Medium Shield,31030000,Banished Knight's Shield,0,2,67
Great Hammer,12020000,Battle Hammer,0,2,23
Curved Greatsword,8080000,Beastman's Cleaver,0,2,11
Curved Sword,7010000,Beastman's Curved Sword,0,2,9
Medium Shield,30060000,Beastman's Jar-Shield,0,2,67
Spear,16540000,Bloodfiend's Fork,0,2,25
Dagger,1140000,Bloodstained Dagger,0,2,1
Bolt,52000000,Bolt,0,2,85
Medium Shield,31130000,Brass Shield,0,2,67
Axe,14060000,Celebrant's Cleaver,0,2,17
Spear,16060000,Celebrant's Rib-Rake,0,2,25
Dagger,1060000,Celebrant's Sickle,0,2,1
Flail,13040000,Chainlink Flail,0,2,24
Spear,16030000,Clayman's Harpoon,0,2,25
Thrusting Sword,5010000,Cleanrot Knight's Sword,0,2,15
Spear,16040000,Cleanrot Spear,0,2,25
Hammer,11010000,Club,0,2,21
Greataxe,15030000,Crescent Moon Axe,0,2,19
Greatshield,32250000,Cuckoo Greatshield,0,2,69
Backhand Blade,64520000,Curseblade's Cirque,0,2,92
Hammer,11030000,Curved Club,0,2,21
Great Hammer,12080000,Curved Great Club,0,2,23
Dagger,1000000,Dagger,0,2,1
Glintstone Staff,33120000,Digger's Staff,0,2,57
Curved Greatsword,8020000,Dismounter,0,2,11
Colossal Weapon,23040000,Duelist Greataxe,0,2,41
Arrow,50100000,Dwelling Arrow,0,2,81
Greatshield,32240000,Eclipse Crest Greatshield,0,2,69
Colossal Weapon,23030000,Envoy's Greathorn,0,2,41
Hammer,11100000,Envoy's Horn,0,2,21
Great Hammer,12160000,Envoy's Long Horn,0,2,23
Greataxe,15080000,Executioner's Greataxe,0,2,19
Curved Sword,7000000,Falchion,0,2,9
Colossal Sword,4520000,Fire Knight's Greatsword,0,2,7
Dagger,1510000,Fire Knight's Shortsword,0,2,1
Greatsword,3010000,Forked Greatsword,0,2,5
Axe,14010000,Forked Hatchet,0,2,17
Axe,14540000,Forked-Tongue Hatchet,0,2,17
Glintstone Staff,33050000,Gelmir Glintstone Staff,0,2,57
Greatshield,32270000,Gilded Greatshield,0,2,69
Halberd,18090000,Glaive,0,2,29
Glintstone Staff,33000000,Glintstone Staff,0,2,57
Greatshield,32260000,Golden Greatshield,0,2,69
Fist,21540000,Golem Fist,0,2,35
Greatbow,42010000,Golem Greatbow,0,2,53
Greatarrow,51010000,Golem's Great Arrow,0,2,83
Colossal Weapon,23120000,Golem's Halberd,0,2,41
Greatarrow,51030000,Golem's Magic Arrow,0,2,83
Reaper,19010000,Grave Scythe,0,2,31
Greatarrow,51000000,Great Arrow,0,2,83
Dagger,1090000,Great Knife,0,2,1
Greatbow,42040000,Greatbow,0,2,53
Great Hammer,12010000,Greathorn Hammer,0,2,23
Curved Sword,7150000,Grossmesser,0,2,9
Halberd,18110000,Guardian's Swordspear,0,2,29
Greatshield,32280000,Haligtree Crest Greatshield,0,2,69
Reaper,19020000,Halo Scythe,0,2,31
Crossbow,43030000,Heavy Crossbow,0,2,55
Curved Sword,7530000,Horned Warrior's Sword,0,2,9
Greatshield,32210000,Inverted Hawk Towershield,0,2,69
Axe,14040000,Iron Cleaver,0,2,17
Greatsword,3020000,Iron Greatsword,0,2,5
Spear,16150000,Iron Spear,0,2,25
Axe,14030000,Jawbone Axe,0,2,17
Greatsword,3040000,Knight's Greatsword,0,2,5
Straight Sword,2250000,Lazuli Glintstone Sword,0,2,3
Greatsword,3520000,Lizard Greatsword,0,2,5
Bow,41000000,Longbow,0,2,51
Greataxe,15050000,Longhaft Axe,0,2,19
Straight Sword,2000000,Longsword,0,2,3
Bolt,52080000,Lordsworn's Bolt,0,2,85
Greatshield,32300000,Lordsworn's Shield,0,2,69
Straight Sword,2040000,Lordsworn's Straight Sword,0,2,3
Curved Sword,7050000,Magma Blade,0,2,9
Small Shield,30020000,Man-Serpent's Shield,0,2,65
Medium Shield,31500000,Messmer Soldier Shield,0,2,67
Axe,14520000,Messmer Soldier's Axe,0,2,17
Great Spear,17510000,Messmer Soldier's Spear,0,2,28
Light Bow,40010000,Misbegotten Shortbow,0,2,50
Curved Greatsword,8070000,Monk's Flameblade,0,2,11
Hammer,11090000,Monk's Flamemace,0,2,21
Thrusting Sword,5060000,Noble's Estoc,0,2,15
Straight Sword,2230000,Noble's Slender Sword,0,2,3
Curved Greatsword,8060000,Omen Cleaver,0,2,11
Spear,16050000,Partisan,0,2,25
Bolt,52020000,Perfumer's Bolt,0,2,85
Small Shield,30010000,Perfumer's Shield,0,2,65
Halberd,18010000,Pest's Glaive,0,2,29
Great Hammer,12140000,Pickaxe,0,2,23
Light Bow,40020000,Red Branch Shortbow,0,2,50
Greatshield,32230000,Redmane Greatshield,0,2,69
Small Shield,30030000,Rickety Shield,0,2,65
Halberd,18060000,Ripple Crescent Halberd,0,2,29
Spear,16160000,Rotten Crystal Spear,0,2,25
Glintstone Staff,33270000,Rotten Crystal Staff,0,2,57
Colossal Weapon,23140000,Rotten Staff,0,2,41
Curved Sword,7140000,Scimitar,0,2,9
Small Shield,30080000,Scripture Wooden Shield,0,2,65
Arrow,50020000,Serpent Arrow,0,2,81
Spear,16000000,Short Spear,0,2,25
Straight Sword,2010000,Short Sword,0,2,3
Light Bow,40000000,Shortbow,0,2,50
Crossbow,43000000,Soldier's Crossbow,0,2,55
Spear,16010000,Spear,0,2,25
Hammer,11070000,Spiked Club,0,2,21
Spear,16140000,Spiked Spear,0,2,25
Arrow,50240000,Spiritflame Arrow,0,2,81
Arrow,50040000,St. Trina's Arrow,0,2,81
Glintstone Staff,33260000,Staff of the Guilty,0,2,57
Hammer,11140000,Stone Club,0,2,21
Medium Shield,31050000,Sun Realm Shield,0,2,67
Whip,20020000,Thorned Whip,0,2,39
Spear,16080000,Torchpole,0,2,25
Colossal Sword,4110000,Troll Knight's Sword,0,2,7
Halberd,18070000,Vulgar Militia Saw,0,2,29
Halberd,18130000,Vulgar Militia Shotel,0,2,29
Straight Sword,2240000,Warhawk's Talon,0,2,3
Axe,15010000,Warped Axe,0,2,17
Hammer,11040000,Warpick,0,2,21
Colossal Sword,4010000,Watchdog's Greatsword,0,2,7
Straight Sword,2050000,Weathered Straight Sword,0,2,3
