WeaponClass,ID,Name,EquipType,Category,WepType
Ballista,44000000,Hand Ballista,0,2,56
Ballista,44010000,Jar Cannon,0,2,56
Ballista,44500000,Rabbath's Cannon,0,2,56
Bow,41000000,Longbow,0,2,51
Bow,41010000,Albinauric Bow,0,2,51
Bow,41020000,Horn Bow,0,2,51
Bow,41030000,Erdtree Bow,0,2,51
Bow,41040000,Serpent Bow,0,2,51
Bow,41060000,Pulley Bow,0,2,51
Bow,41070000,Black Bow,0,2,51
Bow,41510000,Ansbach's Longbow,0,2,51
Crossbow,43000000,Soldier's Crossbow,0,2,55
Crossbow,43020000,Light Crossbow,0,2,55
Crossbow,43030000,Heavy Crossbow,0,2,55
Crossbow,43050000,Pulley Crossbow,0,2,55
Crossbow,43060000,Full Moon Crossbow,0,2,55
Crossbow,43080000,Arbalest,0,2,55
Crossbow,43110000,Crepus's Black-Key Crossbow,0,2,55
Crossbow,43500000,Repeating Crossbow,0,2,55
Crossbow,43510000,Spread Crossbow,0,2,55
Greatbow,42010000,Golem Greatbow,0,2,53
Greatbow,42030000,Erdtree Greatbow,0,2,53
Greatbow,42040000,Greatbow,0,2,53
Greatbow,42500000,Igon's Greatbow,0,2,53
Light Bow,40000000,Shortbow,0,2,50
Light Bow,40010000,Misbegotten Shortbow,0,2,50
Light Bow,40020000,Red Branch Shortbow,0,2,50
Light Bow,40030000,Harp Bow,0,2,50
Light Bow,40050000,Composite Bow,0,2,50
Light Bow,40500000,Bone Bow,0,2,50
