WeaponClass,ID,Name,EquipType,Category,WepType
Greatshield,32000000,Dragon Towershield,0,2,69
Greatshield,32020000,Distinguished Greatshield,0,2,69
Greatshield,32030000,Crucible Hornshield,0,2,69
Greatshield,32040000,Dragonclaw Shield,0,2,69
Greatshield,32050000,Briar Greatshield,0,2,69
Greatshield,32080000,Erdtree Greatshield,0,2,69
Greatshield,32090000,Golden Beast Crest Shield,0,2,69
Greatshield,32120000,Jellyfish Shield,0,2,69
Greatshield,32130000,Fingerprint Stone Shield,0,2,69
Greatshield,32140000,Icon Shield,0,2,69
Greatshield,32150000,One-Eyed Shield,0,2,69
Greatshield,32160000,Visage Shield,0,2,69
Greatshield,32170000,Spiked Palisade Shield,0,2,69
Greatshield,32190000,Manor Towershield,0,2,69
Greatshield,32200000,Crossed-Tree Towershield,0,2,69
Greatshield,32210000,Inverted Hawk Towershield,0,2,69
Greatshield,32220000,Ant's Skull Plate,0,2,69
Greatshield,32230000,Redmane Greatshield,0,2,69
Greatshield,32240000,Eclipse Crest Greatshield,0,2,69
Greatshield,32250000,Cuckoo Greatshield,0,2,69
Greatshield,32260000,Golden Greatshield,0,2,69
Greatshield,32270000,Gilded Greatshield,0,2,69
Greatshield,32280000,Haligtree Crest Greatshield,0,2,69
Greatshield,32290000,Wooden Greatshield,0,2,69
Greatshield,32300000,Lordsworn's Shield,0,2,69
Greatshield,32500000,Black Steel Greatshield,0,2,69
Greatshield,32520000,Verdigris Greatshield,0,2,69
Medium Shield,30060000,Beastman's Jar-Shield,0,2,67
Medium Shield,31000000,Kite Shield,0,2,67
Medium Shield,31010000,Marred Leather Shield,0,2,67
Medium Shield,31020000,Marred Wooden Shield,0,2,67
Medium Shield,31030000,Banished Knight's Shield,0,2,67
Medium Shield,31040000,Albinauric Shield,0,2,67
Medium Shield,31050000,Sun Realm Shield,0,2,67
Medium Shield,31060000,Silver Mirrorshield,0,2,67
Medium Shield,31070000,Round Shield,0,2,67
Medium Shield,31080000,Scorpion Kite Shield,0,2,67
Medium Shield,31090000,Twinbird Kite Shield,0,2,67
Medium Shield,31100000,Blue-Gold Kite Shield,0,2,67
Medium Shield,31130000,Brass Shield,0,2,67
Medium Shield,31140000,Great Turtle Shell,0,2,67
Medium Shield,31190000,Carian Knight's Shield,0,2,67
Medium Shield,31230000,Large Leather Shield,0,2,67
Medium Shield,31240000,Horse Crest Wooden Shield,0,2,67
Medium Shield,31250000,Candletree Wooden Shield,0,2,67
Medium Shield,31260000,Flame Crest Wooden Shield,0,2,67
Medium Shield,31270000,Hawk Crest Wooden Shield,0,2,67
Medium Shield,31280000,Beast Crest Heater Shield,0,2,67
Medium Shield,31290000,Red Crest Heater Shield,0,2,67
Medium Shield,31300000,Blue Crest Heater Shield,0,2,67
Medium Shield,31310000,Eclipse Crest Heater Shield,0,2,67
Medium Shield,31320000,Inverted Hawk Heater Shield,0,2,67
Medium Shield,31330000,Heater Shield,0,2,67
Medium Shield,31340000,Black Leather Shield,0,2,67
Medium Shield,31500000,Messmer Soldier Shield,0,2,67
Medium Shield,31510000,Wolf Crest Shield,0,2,67
Medium Shield,31520000,Serpent Crest Shield,0,2,67
Medium Shield,31530000,Golden Lion Shield,0,2,67
Medium Shield,31540000,Silver Grooved Shield,0,2,67
Small Shield,21550000,Shield of Night,0,2,65
Small Shield,30000000,Buckler,0,2,65
Small Shield,30010000,Perfumer's Shield,0,2,65
Small Shield,30020000,Man-Serpent's Shield,0,2,65
Small Shield,30030000,Rickety Shield,0,2,65
Small Shield,30040000,Pillory Shield,0,2,65
Small Shield,30070000,Red Thorn Roundshield,0,2,65
Small Shield,30080000,Scripture Wooden Shield,0,2,65
Small Shield,30090000,Riveted Wooden Shield,0,2,65
Small Shield,30100000,Blue-White Wooden Shield,0,2,65
Small Shield,30110000,Rift Shield,0,2,65
Small Shield,30120000,Iron Roundshield,0,2,65
Small Shield,30130000,Gilded Iron Shield,0,2,65
Small Shield,30140000,Ice Crest Shield,0,2,65
Small Shield,30150000,Smoldering Shield,0,2,65
Small Shield,30190000,Spiralhorn Shield,0,2,65
Small Shield,30200000,Coil Shield,0,2,65
Small Shield,30510000,Smithscript Shield,0,2,65
Small Shield,31170000,Shield of the Guilty,0,2,65
