ID,Name,EquipType,Category
40100,Scale Armor,1,3
50100,Kaiden Armor,1,3
60100,Drake Knight Armor,1,3
61100,Drake Knight Armor (Altered),1,3
80100,Scaled Armor,1,3
81100,Scaled Armor (Altered),1,3
90100,Perfumer Robe,1,3
91100,Perfumer Robe (Altered),1,3
100100,Perfumer's Traveling Garb,1,3
101100,Perfumer's Traveling Garb (Altered),1,3
120100,Alberich's Robe,1,3
121100,Alberich's Robe (Altered),1,3
130100,Spellblade's Traveling Attire,1,3
131100,Spellblade's Traveling Attire (Altered),1,3
140100,Bull-Goat Armor,1,3
150100,Ronin's Armor,1,3
151100,Ronin's Armor (Altered),1,3
160100,Cloth Garb,1,3
170100,Blaidd's Armor,1,3
171100,Blaidd's Armor (Altered),1,3
180100,Black Knife Armor,1,3
181100,Black Knife Armor (Altered),1,3
190100,Exile Armor,1,3
200100,Banished Knight Armor,1,3
201100,Banished Knight Armor (Altered),1,3
210100,Briar Armor,1,3
211100,Briar Armor (Altered),1,3
220100,Page Garb,1,3
221100,Page Garb (Altered),1,3
230100,Night's Cavalry Armor,1,3
231100,Night's Cavalry Armor (Altered),1,3
240100,Blue Silver Mail Armor,1,3
241100,Blue Silver Mail Armor (Altered),1,3
250100,Nomadic Merchant's Finery,1,3
251100,Nomadic Merchant's Finery (Altered),1,3
260100,Malformed Dragon Armor,1,3
270100,Tree Sentinel Armor,1,3
271100,Tree Sentinel Armor (Altered),1,3
280100,Royal Knight Armor,1,3
281100,Royal Knight Armor (Altered),1,3
290100,Nox Monk Armor,1,3
291100,Nox Monk Armor (Altered),1,3
292100,Nox Swordstress Armor,1,3
293100,Night Maiden Armor,1,3
294100,Nox Swordstress Armor (Altered),1,3
300100,Fur Raiment,1,3
301100,Shaman Furs,1,3
310100,Gravekeeper Cloak,1,3
311100,Gravekeeper Cloak (Altered),1,3
320100,Sanguine Noble Robe,1,3
330100,Guardian Garb (Full Bloom),1,3
331100,Guardian Garb,1,3
340100,Cleanrot Armor,1,3
341100,Cleanrot Armor (Altered),1,3
350100,Fire Monk Armor,1,3
351100,Blackflame Monk Armor,1,3
360100,Fire Prelate Armor,1,3
361100,Fire Prelate Armor (Altered),1,3
370100,Aristocrat Garb,1,3
371100,Aristocrat Garb (Altered),1,3
380100,Aristocrat Coat,1,3
390100,Old Aristocrat Gown,1,3
420100,Vulgar Militia Armor,1,3
430100,Sage Robe,1,3
460100,Elden Lord Armor,1,3
461100,Elden Lord Armor (Altered),1,3
470100,Radahn's Lion Armor,1,3
471100,Radahn's Lion Armor (Altered),1,3
480100,Lord of Blood's Robe,1,3
481100,Lord of Blood's Robe (Altered),1,3
510100,Queen's Robe,1,3
520100,Godskin Apostle Robe,1,3
530100,Godskin Noble Robe,1,3
540100,Depraved Perfumer Robe,1,3
541100,Depraved Perfumer Robe (Altered),1,3
570100,Crucible Axe Armor,1,3
571100,Crucible Tree Armor,1,3
572100,Crucible Axe Armor (Altered),1,3
573100,Crucible Tree Armor (Altered),1,3
580100,Lusat's Robe,1,3
581100,Azur's Glintstone Robe,1,3
590100,All-Knowing Armor,1,3
591100,All-Knowing Armor (Altered),1,3
600100,Twinned Armor,1,3
601100,Twinned Armor (Altered),1,3
620100,Corhyn's Robe,1,3
621100,Prophet Robe (Altered),1,3
622100,Prophet Robe,1,3
630100,Astrologer Robe,1,3
631100,Astrologer Robe (Altered),1,3
640100,Lionel's Armor,1,3
641100,Lionel's Armor (Altered),1,3
650100,Hoslow's Armor,1,3
652100,Hoslow's Armor (Altered),1,3
660100,Vagabond Knight Armor,1,3
661100,Vagabond Knight Armor (Altered),1,3
670100,Blue Cloth Vest,1,3
680100,War Surgeon Gown,1,3
681100,War Surgeon Gown (Altered),1,3
690100,Royal Remains Armor,1,3
720100,Beast Champion Armor,1,3
721100,Beast Champion Armor (Altered),1,3
730100,Champion Pauldron,1,3
740100,Noble's Traveling Garb,1,3
760100,Maliketh's Armor,1,3
761100,Maliketh's Armor (Altered),1,3
770100,Malenia's Armor,1,3
771100,Malenia's Armor (Altered),1,3
780100,Veteran's Armor,1,3
781100,Veteran's Armor (Altered),1,3
790100,Bloodhound Knight Armor,1,3
791100,Bloodhound Knight Armor (Altered),1,3
800100,Festive Garb,1,3
801100,Festive Garb (Altered),1,3
802100,Blue Festive Garb,1,3
810100,Commoner's Garb,1,3
811100,Commoner's Garb (Altered),1,3
812000,Commoner's Simple Garb,1,3
812100,Commoner's Simple Garb (Altered),1,3
830100,Raya Lucarian Robe,1,3
840100,Marionette Soldier Armor,1,3
860100,Raging Wolf Armor,1,3
861100,Raging Wolf Armor (Altered),1,3
870100,Land of Reeds Armor,1,3
871100,Land of Reeds Armor (Altered),1,3
872100,White Reed Armor,1,3
880100,Confessor Armor,1,3
881100,Confessor Armor (Altered),1,3
890100,Prisoner Clothing,1,3
900100,Traveling Maiden Robe,1,3
901100,Traveling Maiden Robe (Altered),1,3
902100,Finger Maiden Robe,1,3
903100,Finger Maiden Robe (Altered),1,3
910100,Preceptor's Long Gown,1,3
911100,Preceptor's Long Gown (Altered),1,3
930100,Raptor's Black Feathers,1,3
931100,Bandit Garb,1,3
940100,Eccentric's Armor,1,3
950100,Fingerprint Armor,1,3
951100,Fingerprint Armor (Altered),1,3
960100,Consort's Robe,1,3
961100,Ruler's Robe,1,3
962100,Upper-Class Robe,1,3
963100,Marais Robe,1,3
964100,Official's Attire,1,3
970100,Omen Armor,1,3
980100,Carian Knight Armor,1,3
981100,Carian Knight Armor (Altered),1,3
990100,Errant Sorcerer Robe,1,3
991100,Errant Sorcerer Robe (Altered),1,3
1000100,Battlemage Robe,1,3
1010100,Snow Witch Robe,1,3
1011100,Snow Witch Robe (Altered),1,3
1020100,Traveler's Clothes,1,3
