WeaponClass,ID,Name,EquipType,Category,WepType
Arrow,50000000,Arrow,0,2,81
Arrow,50010000,Fire Arrow,0,2,81
Arrow,50020000,Serpent Arrow,0,2,81
Arrow,50030000,Bone Arrow (Fletched),0,2,81
Arrow,50040000,St. Trina's Arrow,0,2,81
Arrow,50060000,Shattershard Arrow (Fletched),0,2,81
Arrow,50080000,Rainbow Stone Arrow (Fletched),0,2,81
Arrow,50090000,Golden Arrow,0,2,81
Arrow,50100000,Dwelling Arrow,0,2,81
Arrow,50110000,Bone Arrow,0,2,81
Arrow,50130000,Firebone Arrow (Fletched),0,2,81
Arrow,50140000,Firebone Arrow,0,2,81
Arrow,50150000,Poisonbone Arrow (Fletched),0,2,81
Arrow,50160000,Poisonbone Arrow,0,2,81
Arrow,50170000,Sleepbone Arrow (Fletched),0,2,81
Arrow,50180000,Sleepbone Arrow,0,2,81
Arrow,50190000,Stormwing Bone Arrow,0,2,81
Arrow,50200000,Lightningbone Arrow (Fletched),0,2,81
Arrow,50210000,Lightningbone Arrow,0,2,81
Arrow,50220000,Rainbow Stone Arrow,0,2,81
Arrow,50230000,Shattershard Arrow,0,2,81
Arrow,50240000,Spiritflame Arrow,0,2,81
Arrow,50260000,Magicbone Arrow (Fletched),0,2,81
Arrow,50270000,Magicbone Arrow,0,2,81
Arrow,50280000,Haligbone Arrow (Fletched),0,2,81
Arrow,50290000,Haligbone Arrow,0,2,81
Arrow,50300000,Bloodbone Arrow (Fletched),0,2,81
Arrow,50310000,Bloodbone Arrow,0,2,81
Arrow,50320000,Coldbone Arrow (Fletched),0,2,81
Arrow,50330000,Coldbone Arrow,0,2,81
Arrow,50340000,Rotbone Arrow (Fletched),0,2,81
Arrow,50350000,Rotbone Arrow,0,2,81
Arrow,50540000,Piquebone Arrow (Fletched),0,2,81
Arrow,50550000,Piquebone Arrow,0,2,81
Bolt,52000000,Bolt,0,2,85
Bolt,52010000,Lightning Bolt,0,2,85
Bolt,52020000,Perfumer's Bolt,0,2,85
Bolt,52030000,Black-Key Bolt,0,2,85
Bolt,52040000,Burred Bolt,0,2,85
Bolt,52050000,Meteor Bolt,0,2,85
Bolt,52060000,Explosive Bolt,0,2,85
Bolt,52070000,Golden Bolt,0,2,85
Bolt,52080000,Lordsworn's Bolt,0,2,85
Bolt,52090000,Bone Bolt,0,2,85
Bolt,52100000,Firebone Bolt,0,2,85
Bolt,52110000,Lightningbone Bolt,0,2,85
Bolt,52120000,Magicbone Bolt,0,2,85
Bolt,52130000,Haligbone Bolt,0,2,85
Bolt,52140000,Poisonbone Bolt,0,2,85
Bolt,52150000,Bloodbone Bolt,0,2,85
Bolt,52160000,Coldbone Bolt,0,2,85
Bolt,52170000,Rotbone Bolt,0,2,85
Bolt,52180000,Sleepbone Bolt,0,2,85
Bolt,52190000,Flaming Bolt,0,2,85
Bolt,52520000,Piquebone Bolt,0,2,85
Greatarrow,51000000,Great Arrow,0,2,83
Greatarrow,51010000,Golem's Great Arrow,0,2,83
Greatarrow,51020000,Golden Great Arrow,0,2,83
Greatarrow,51030000,Golem's Magic Arrow,0,2,83
Greatarrow,51040000,Radahn's Spear,0,2,83
Greatarrow,51050000,Bone Great Arrow (Fletched),0,2,83
Greatarrow,51060000,Bone Great Arrow,0,2,83
Greatarrow,51500000,Igon's Harpoon,0,2,83
Greatbolt,53000000,Ballista Bolt,0,2,86
Greatbolt,53010000,Lightning Greatbolt,0,2,86
Greatbolt,53020000,Explosive Greatbolt,0,2,86
Greatbolt,53030000,Bone Ballista Bolt,0,2,86
Greatbolt,53500000,Rabbath's Greatbolt,0,2,86
