ID,Name,EquipType,Category
40200,Iron Gauntlets,1,3
50200,Kaiden Gauntlets,1,3
60200,Drake Knight Gauntlets,1,3
80200,Scaled Gauntlets,1,3
90200,Perfumer Gloves,1,3
100200,Traveler's Gloves,1,3
120200,Alberich's Bracers,1,3
130200,Spellblade's Gloves,1,3
140200,Bull-Goat Gauntlets,1,3
150200,Ronin's Gauntlets,1,3
170200,Blaidd's Gauntlets,1,3
180200,Black Knife Gauntlets,1,3
190200,Exile Gauntlets,1,3
200200,Banished Knight Gauntlets,1,3
210200,Briar Gauntlets,1,3
230200,Night's Cavalry Gauntlets,1,3
240200,Blue Silver Bracelets,1,3
260200,Malformed Dragon Gauntlets,1,3
270200,Tree Sentinel Gauntlets,1,3
280200,Royal Knight Gauntlets,1,3
290200,Nox Bracelets,1,3
330200,Guardian Bracers,1,3
340200,Cleanrot Gauntlets,1,3
350200,Fire Monk Gauntlets,1,3
351200,Blackflame Monk Gauntlets,1,3
360200,Fire Prelate Gauntlets,1,3
420200,Vulgar Militia Gauntlets,1,3
460200,Elden Lord Bracers,1,3
470200,Radahn's Gauntlets,1,3
510200,Queen's Bracelets,1,3
520200,Godskin Apostle Bracelets,1,3
530200,Godskin Noble Bracelets,1,3
540200,Depraved Perfumer Gloves,1,3
570200,Crucible Gauntlets,1,3
580200,Lusat's Manchettes,1,3
581200,Azur's Manchettes,1,3
590200,All-Knowing Gauntlets,1,3
600200,Twinned Gauntlets,1,3
610200,Ragged Gloves,1,3
630200,Astrologer Gloves,1,3
640200,Lionel's Gauntlets,1,3
650200,Hoslow's Gauntlets,1,3
660200,Vagabond Knight Gauntlets,1,3
670200,Warrior Gauntlets,1,3
680200,War Surgeon Gloves,1,3
690200,Royal Remains Gauntlets,1,3
700200,Brave's Bracer,1,3
720200,Beast Champion Gauntlets,1,3
730200,Champion Bracers,1,3
740200,Noble's Gloves,1,3
760200,Maliketh's Gauntlets,1,3
770200,Malenia's Gauntlet,1,3
780200,Veteran's Gauntlets,1,3
790200,Bloodhound Knight Gauntlets,1,3
830200,Sorcerer Manchettes,1,3
860200,Raging Wolf Gauntlets,1,3
870200,Land of Reeds Gauntlets,1,3
872200,White Reed Gauntlets,1,3
880200,Confessor Gloves,1,3
900200,Traveling Maiden Gloves,1,3
910200,Preceptor's Gloves,1,3
930200,Bandit Manchettes,1,3
940200,Eccentric's Manchettes,1,3
950200,Fingerprint Gauntlets,1,3
963200,Bloodsoaked Manchettes,1,3
970200,Omen Gauntlets,1,3
980200,Carian Knight Gauntlets,1,3
990200,Errant Sorcerer Manchettes,1,3
1000200,Battlemage Manchettes,1,3
1020200,Traveler's Manchettes,1,3
1040200,Gold Bracelets,1,3
1070200,Zamor Bracelets,1,3
1100200,Chain Gauntlets,1,3
1130200,Mushroom Arms,1,3
1400200,Leather Gloves,1,3
1500200,Knight Gauntlets,1,3
1700200,Godrick Soldier Gauntlets,1,3
1710200,Raya Lucarian Gauntlets,1,3
1720200,Leyndell Soldier Gauntlets,1,3
1730200,Radahn Soldier Gauntlets,1,3
1740200,Mausoleum Gauntlets,1,3
1750200,Haligtree Gauntlets,1,3
1760200,Gelmir Knight Gauntlets,1,3
1770200,Godrick Knight Gauntlets,1,3
1780200,Cuckoo Knight Gauntlets,1,3
1790200,Leyndell Knight Gauntlets,1,3
1800200,Redmane Knight Gauntlets,1,3
1810200,Mausoleum Knight Gauntlets,1,3
1820200,Haligtree Knight Gauntlets,1,3
1830200,Foot Soldier Gauntlets,1,3
1890200,Omenkiller Long Gloves,1,3
1980200,Highwayman Gauntlets,1,3
3000200,Dryleaf Arm Wraps,1,3
3010200,Gaius's Gauntlets,1,3
5000200,Oathseeker Knight Gauntlets,1,3
5010200,Verdigris Gauntlets,1,3
5020200,Iron Rivet Gauntlets,1,3
5030200,Thiollier's Gloves,1,3
5060200,High Priest Gloves,1,3
5070200,Braided Arm Wraps,1,3
5080200,Dancer's Bracer,1,3
5090200,Gauntlets of Night,1,3
5100200,Igon's Gauntlets,1,3
5110200,Ansbach's Manchettes,1,3
5120200,Freyja's Gauntlets,1,3
5130200,Gauntlets of Solitude,1,3
5140200,Messmer Soldier Gauntlets,1,3
5150200,Black Knight Gauntlets,1,3
5160200,Rakshasa Gauntlets,1,3
5180200,Fire Knight Gauntlets,1,3
5190200,Leather Arm Wraps,1,3
5200200,Death Knight Gauntlets,1,3
5210200,Ascetic's Wrist Guards,1,3
5220200,Messmer's Gauntlets,1,3
5230200,Gravebird Bracelets,1,3
5240200,Common Soldier Gauntlets,1,3
5250200,Horned Warrior Gauntlets,1,3
5253200,Divine Bird Warrior Gauntlets,1,3
5260200,Rellana's Gloves,1,3
5270200,Young Lion's Gauntlets,1,3
5280200,Shadow Militiaman Gauntlets,1,3
