ID,Name,EquipType,Category
120300,Alberich's Trousers,1,3
590300,All-Knowing Greaves,1,3
370300,Aristocrat Boots,1,3
630300,Astrologer Trousers,1,3
930300,Bandit Boots,1,3
200300,Banished Knight Greaves,1,3
1000300,Battlemage Legwraps,1,3
720300,Beast Champion Greaves,1,3
180300,Black Knife Greaves,1,3
351300,Blackflame Monk Greaves,1,3
170300,Blaidd's Greaves,1,3
790300,Bloodhound Knight Greaves,1,3
240300,Blue Silver Mail Skirt,1,3
700300,Brave's Legwraps,1,3
210300,Briar Greaves,1,3
140300,Bull-Goat Greaves,1,3
980300,Carian Knight Greaves,1,3
1100300,Chain Leggings,1,3
730300,Champion Gaiters,1,3
340300,Cleanrot Greaves,1,3
160300,Cloth Trousers,1,3
810300,Commoner's Shoes,1,3
880300,Confessor Boots,1,3
960300,Consort's Trousers,1,3
570300,Crucible Greaves,1,3
1780300,Cuckoo Knight Greaves,1,3
540300,Depraved Perfumer Trousers,1,3
60300,Drake Knight Greaves,1,3
310300,Duelist Greaves,1,3
940300,Eccentric's Breeches,1,3
460300,Elden Lord Greaves,1,3
990300,Errant Sorcerer Boots,1,3
190300,Exile Greaves,1,3
902300,Finger Maiden Shoes,1,3
950300,Fingerprint Greaves,1,3
350300,Fire Monk Greaves,1,3
360300,Fire Prelate Greaves,1,3
1830300,Foot Soldier Greaves,1,3
300300,Fur Leggings,1,3
1760300,Gelmir Knight Greaves,1,3
1770300,Godrick Knight Greaves,1,3
1700300,Godrick Soldier Greaves,1,3
520300,Godskin Apostle Trousers,1,3
530300,Godskin Noble Trousers,1,3
1040300,Gold Waistwrap,1,3
330300,Guardian Greaves,1,3
1750300,Haligtree Greaves,1,3
1820300,Haligtree Knight Greaves,1,3
650300,Hoslow's Greaves,1,3
50300,Kaiden Trousers,1,3
1500300,Knight Greaves,1,3
870300,Land of Reeds Greaves,1,3
1400300,Leather Boots,1,3
40300,Leather Trousers,1,3
1790300,Leyndell Knight Greaves,1,3
1720300,Leyndell Soldier Greaves,1,3
640300,Lionel's Greaves,1,3
770300,Malenia's Greaves,1,3
260300,Malformed Dragon Greaves,1,3
760300,Maliketh's Greaves,1,3
1740300,Mausoleum Greaves,1,3
1810300,Mausoleum Knight Greaves,1,3
1130300,Mushroom Legs,1,3
230300,Night's Cavalry Greaves,1,3
740300,Noble's Trousers,1,3
250300,Nomadic Merchant's Trousers,1,3
290300,Nox Greaves,1,3
390300,Old Aristocrat Shoes,1,3
580300,Old Sorcerer's Legwraps,1,3
970300,Omen Greaves,1,3
1890300,Omenkiller Boots,1,3
220300,Page Trousers,1,3
90300,Perfumer Sarong,1,3
910300,Preceptor's Trousers,1,3
890300,Prisoner Trousers,1,3
620300,Prophet Trousers,1,3
510300,Queen's Leggings,1,3
1730300,Radahn Soldier Greaves,1,3
470300,Radahn's Greaves,1,3
610300,Ragged Loincloth,1,3
860300,Raging Wolf Greaves,1,3
1710300,Raya Lucarian Greaves,1,3
1800300,Redmane Knight Greaves,1,3
150300,Ronin's Greaves,1,3
2000300,Rotten Duelist Greaves,1,3
280300,Royal Knight Greaves,1,3
690300,Royal Remains Greaves,1,3
430300,Sage Trousers,1,3
320300,Sanguine Noble Waistcloth,1,3
80300,Scaled Greaves,1,3
301300,Shaman Leggings,1,3
1010300,Snow Witch Skirt,1,3
830300,Sorcerer Leggings,1,3
130300,Spellblade's Trousers,1,3
1020300,Traveler's Boots,1,3
100300,Traveler's Slops,1,3
900300,Traveling Maiden Boots,1,3
270300,Tree Sentinel Greaves,1,3
600300,Twinned Greaves,1,3
660300,Vagabond Knight Greaves,1,3
780300,Veteran's Greaves,1,3
420300,Vulgar Militia Greaves,1,3
680300,War Surgeon Trousers,1,3
670300,Warrior Greaves,1,3
872300,White Reed Greaves,1,3
1070300,Zamor Legwraps,1,3
3000300,Dryleaf Cuissardes,1,3
3010300,Gaius's Greaves,1,3
5000300,Oathseeker Knight Greaves,1,3
5010300,Verdigris Greaves,1,3
5020300,Iron Rivet Greaves,1,3
5030300,Thiollier's Trousers,1,3
5060300,High Priest Undergarments,1,3
5070300,Soiled Loincloth,1,3
5080300,Dancer's Trousers,1,3
5090300,Greaves of Night,1,3
5100300,Igon's Loincloth,1,3
5110300,Ansbach's Boots,1,3
5120300,Freyja's Greaves,1,3
5130300,Greaves of Solitude,1,3
5140300,Messmer Soldier Greaves,1,3
5150300,Black Knight Greaves,1,3
5160300,Rakshasa Greaves,1,3
5180300,Fire Knight Greaves,1,3
5190300,Leather Leg Wraps,1,3
5200300,Death Knight Greaves,1,3
5210300,Ascetic's Ankle Guards,1,3
5220300,Messmer's Greaves,1,3
5230300,Gravebird Anklets,1,3
5240300,Common Soldier Greaves,1,3
5250300,Horned Warrior Greaves,1,3
5253300,Divine Bird Warrior Greaves,1,3
5260300,Rellana's Greaves,1,3
5270300,Young Lion's Greaves,1,3
5280300,Shadow Militiaman Greaves,1,3
