ID,Name,EquipType,Category
40000,Iron Helmet,1,3
50000,Kaiden Helm,1,3
60000,Drake Knight Helm,1,3
61000,Drake Knight Helm (Altered),1,3
80000,Scaled Helm,1,3
90000,Perfumer Hood,1,3
100000,Traveler's Hat,1,3
120000,Alberich's Pointed Hat,1,3
121000,Alberich's Pointed Hat (Altered),1,3
130000,Spellblade's Pointed Hat,1,3
140000,Bull-Goat Helm,1,3
150000,Iron Kasa,1,3
160000,Guilty Hood,1,3
170000,Black Wolf Mask,1,3
180000,Black Knife Hood,1,3
190000,Exile Hood,1,3
200000,Banished Knight Helm,1,3
201000,Banished Knight Helm (Altered),1,3
210000,Briar Helm,1,3
220000,Page Hood,1,3
230000,Night's Cavalry Helm,1,3
231000,Night's Cavalry Helm (Altered),1,3
240000,Blue Silver Mail Hood,1,3
250000,Nomadic Merchant's Chapeau,1,3
260000,Malformed Dragon Helm,1,3
270000,Tree Sentinel Helm,1,3
280000,Royal Knight Helm,1,3
290000,Nox Monk Hood,1,3
291000,Nox Monk Hood (Altered),1,3
292000,Nox Swordstress Crown,1,3
293000,Night Maiden Twin Crown,1,3
294000,Nox Swordstress Crown (Altered),1,3
300000,Great Horned Headband,1,3
301000,Shining Horned Headband,1,3
310000,Duelist Helm,1,3
320000,Sanguine Noble Hood,1,3
330000,Guardian Mask,1,3
340000,Cleanrot Helm,1,3
341000,Cleanrot Helm (Altered),1,3
350000,Fire Monk Hood,1,3
351000,Blackflame Monk Hood,1,3
360000,Fire Prelate Helm,1,3
370000,Aristocrat Headband,1,3
380000,Aristocrat Hat,1,3
390000,Old Aristocrat Cowl,1,3
420000,Vulgar Militia Helm,1,3
430000,Sage Hood,1,3
440000,Pumpkin Helm,1,3
460000,Elden Lord Crown,1,3
470000,Radahn's Redmane Helm,1,3
510000,Queen's Crescent Crown,1,3
520000,Godskin Apostle Hood,1,3
530000,Godskin Noble Hood,1,3
540000,Depraved Perfumer Headscarf,1,3
570000,Crucible Axe Helm,1,3
571000,Crucible Tree Helm,1,3
580000,Lusat's Glintstone Crown,1,3
581000,Azur's Glintstone Crown,1,3
590000,All-Knowing Helm,1,3
600000,Twinned Helm,1,3
620000,Prophet Blindfold,1,3
630000,Astrologer Hood,1,3
640000,Lionel's Helm,1,3
650000,Hoslow's Helm,1,3
651000,Diallos's Mask,1,3
660000,Vagabond Knight Helm,1,3
670000,Blue Cloth Cowl,1,3
680000,White Mask,1,3
690000,Royal Remains Helm,1,3
720000,Beast Champion Helm,1,3
730000,Champion Headband,1,3
740000,Crimson Hood,1,3
741000,Navy Hood,1,3
760000,Maliketh's Helm,1,3
770000,Malenia's Winged Helm,1,3
780000,Veteran's Helm,1,3
790000,Bloodhound Knight Helm,1,3
800000,Festive Hood,1,3
801000,Festive Hood (Altered),1,3
802000,Blue Festive Hood,1,3
810000,Commoner's Headband,1,3
811000,Commoner's Headband (Altered),1,3
820000,Envoy Crown,1,3
830000,Twinsage Glintstone Crown,1,3
831000,Olivinus Glintstone Crown,1,3
832000,Lazuli Glintstone Crown,1,3
833000,Karolos Glintstone Crown,1,3
834000,Witch's Glintstone Crown,1,3
840000,Marionette Soldier Helm,1,3
850000,Marionette Soldier Birdhelm,1,3
860000,Raging Wolf Helm,1,3
870000,Land of Reeds Helm,1,3
872000,Okina Mask,1,3
880000,Confessor Hood,1,3
881000,Confessor Hood (Altered),1,3
890000,Prisoner Iron Mask,1,3
891000,Blackguard's Iron Mask,1,3
900000,Traveling Maiden Hood,1,3
902000,Finger Maiden Fillet,1,3
910000,Preceptor's Big Hat,1,3
911000,Mask of Confidence,1,3
930000,Skeletal Mask,1,3
940000,Eccentric's Hood,1,3
941000,Eccentric's Hood (Altered),1,3
950000,Fingerprint Helm,1,3
960000,Consort's Mask,1,3
961000,Ruler's Mask,1,3
963000,Marais Mask,1,3
964000,Bloodsoaked Mask,1,3
970000,Omen Helm,1,3
980000,Carian Knight Helm,1,3
990000,Hierodas Glintstone Crown,1,3
1000000,Haima Glintstone Crown,1,3
1010000,Snow Witch Hat,1,3
1030000,Juvenile Scholar Cap,1,3
1040000,Radiant Gold Mask,1,3
1060000,Albinauric Mask,1,3
1070000,Zamor Mask,1,3
1080000,Imp Head (Cat),1,3
1081000,Imp Head (Fanged),1,3
1082000,Imp Head (Long-Tongued),1,3
1083000,Imp Head (Corpse),1,3
1084000,Imp Head (Wolf),1,3
