WeaponClass,ID,Name,EquipType,Category,WepType
Axe,14000000,Battle Axe,0,2,17
Axe,14060000,Celebrant's Cleaver,0,2,17
Axe,14510000,Death Knight's Twin Axes,0,2,17
Axe,14010000,Forked Hatchet,0,2,17
Axe,14540000,Forked-Tongue Hatchet,0,2,17
Axe,14020000,Hand Axe,0,2,17
Axe,14100000,Highland Axe,0,2,17
Axe,14080000,Icerind Hatchet,0,2,17
Axe,14040000,Iron Cleaver,0,2,17
Axe,14030000,Jawbone Axe,0,2,17
Axe,14520000,Messmer Soldier's Axe,0,2,17
Axe,14050000,Ripple Blade,0,2,17
Axe,14120000,Rosus' Axe,0,2,17
Axe,14110000,Sacrificial Axe,0,2,17
Axe,14500000,Smithscript Axe,0,2,17
Axe,14140000,Stormhawk Axe,0,2,17
Axe,15010000,Warped Axe,0,2,17
Backhand Blade,64500000,Backhand Blade,0,2,92
Backhand Blade,64520000,Curseblade's Cirque,0,2,92
Backhand Blade,64510000,Smithscript Cirque,0,2,92
Backhand Blade,64530000,Reverse-Bladed Sword,0,2,92
Beast Claw,68500000,Beast Claw,0,2,95
Beast Claw,68510000,Red Bear's Claw,0,2,95
Claw,22020000,Bloodhound Claws,0,2,37
Claw,22500000,Claws of Night,0,2,37
Claw,22000000,Hookclaws,0,2,37
Claw,22030000,Raptor Talons,0,2,37
Claw,22010000,Venomous Fang,0,2,37
Colossal Sword,4500000,Ancient Meteoric Ore Greatsword,0,2,7
Colossal Sword,4520000,Fire Knight's Greatsword,0,2,7
Colossal Sword,4070000,Godslayer's Greatsword,0,2,7
Colossal Sword,4100000,Grafted Blade Greatsword,0,2,7
Colossal Sword,4000000,Greatsword,0,2,7
Colossal Sword,4540000,Moonrithyll's Knight Sword,0,2,7
Colossal Sword,4060000,Royal Greatsword,0,2,7
Colossal Sword,4080000,Ruins Greatsword,0,2,7
Colossal Sword,4110000,Troll Knight's Sword,0,2,7
Colossal Sword,4030000,Troll's Golden Sword,0,2,7
Colossal Sword,4010000,Watchdog's Greatsword,0,2,7
Colossal Sword,4040000,Zweihander,0,2,7
Colossal Sword,4050000,Starscourge Greatsword,0,2,7
Colossal Sword,4020000,Maliketh's Black Blade,0,2,7
Colossal Sword,4530000,Greatsword of Radahn (Lord),0,2,7
Colossal Sword,4550000,Greatsword of Radahn (Light),0,2,7
Colossal Weapon,12510000,Anvil Hammer,0,2,41
Colossal Weapon,12530000,Bloodfiend's Arm,0,2,41
Colossal Weapon,23500000,Devonia's Hammer,0,2,41
Colossal Weapon,23060000,Dragon Greatclaw,0,2,41
Colossal Weapon,23040000,Duelist Greataxe,0,2,41
Colossal Weapon,23030000,Envoy's Greathorn,0,2,41
Colossal Weapon,23080000,Fallingstar Beast Jaw,0,2,41
Colossal Weapon,23100000,Ghiza's Wheel,0,2,41
Colossal Weapon,23110000,Giant-Crusher,0,2,41
Colossal Weapon,23120000,Golem's Halberd,0,2,41
Colossal Weapon,23020000,Great Club,0,2,41
Colossal Weapon,23000000,Prelate's Inferno Crozier,0,2,41
Colossal Weapon,23150000,Rotten Greataxe,0,2,41
Colossal Weapon,23140000,Rotten Staff,0,2,41
Colossal Weapon,23070000,Staff of the Avatar,0,2,41
Colossal Weapon,23130000,Troll's Hammer,0,2,41
Colossal Weapon,23010000,Watchdog's Staff,0,2,41
Colossal Weapon,23050000,Axe of Godfrey,0,2,41
Colossal Weapon,23520000,Gazing Finger,0,2,41
Colossal Weapon,23510000,Shadow Sunflower Blossom,0,2,41
Curved Greatsword,8080000,Beastman's Cleaver,0,2,11
Curved Greatsword,8030000,Bloodhound's Fang,0,2,11
Curved Greatsword,8020000,Dismounter,0,2,11
Curved Greatsword,8510000,Freyja's Greatsword,0,2,11
Curved Greatsword,8520000,Horned Warrior's Greatsword,0,2,11
Curved Greatsword,8040000,Magma Wyrm's Scalesword,0,2,11
Curved Greatsword,8070000,Monk's Flameblade,0,2,11
Curved Greatsword,8060000,Omen Cleaver,0,2,11
Curved Greatsword,8010000,Onyx Lord's Greatsword,0,2,11
Curved Greatsword,8050000,Zamor Curved Sword,0,2,11
Curved Greatsword,8100000,Morgott's Cursed Sword,0,2,11
Curved Greatsword,8530000,Hefty Scimitar,0,2,11
Curved Sword,7040000,Bandit's Curved Sword,0,2,9
Curved Sword,7010000,Beastman's Curved Sword,0,2,9
Curved Sword,7520000,Dancing Blade of Ranah,0,2,9
Curved Sword,7100000,Eclipse Shotel,0,2,9
Curved Sword,7000000,Falchion,0,2,9
Curved Sword,7510000,Falx,0,2,9
Curved Sword,7060000,Flowing Curved Sword,0,2,9
Curved Sword,7150000,Grossmesser,0,2,9
Curved Sword,7530000,Horned Warrior's Sword,0,2,9
Curved Sword,7050000,Magma Blade,0,2,9
Curved Sword,7120000,Mantis Blade,0,2,9
Curved Sword,2080000,Nox Flowing Sword,0,2,9
Curved Sword,7080000,Scavenger's Curved Sword,0,2,9
Curved Sword,7140000,Scimitar,0,2,9
Curved Sword,7110000,Serpent-God's Curved Sword,0,2,9
Curved Sword,7030000,Shamshir,0,2,9
Curved Sword,7020000,Shotel,0,2,9
Curved Sword,7500000,Spirit Sword,0,2,9
Curved Sword,7070000,Wing of Astel,0,2,9
Dagger,1010000,Black Knife,0,2,1
Dagger,1160000,Blade of Calling,0,2,1
Dagger,1140000,Bloodstained Dagger,0,2,1
Dagger,1060000,Celebrant's Sickle,0,2,1
Dagger,1110000,Cinquedea,0,2,1
Dagger,1050000,Crystal Knife,0,2,1
Dagger,1000000,Dagger,0,2,1
Dagger,1150000,Erdsteel Dagger,0,2,1
Dagger,1510000,Fire Knight's Shortsword,0,2,1
Dagger,1070000,Glintstone Kris,0,2,1
Dagger,1090000,Great Knife,0,2,1
Dagger,1130000,Ivory Sickle,0,2,1
Dagger,1500000,Main-gauche,0,2,1
Dagger,1030000,Misericorde,0,2,1
Dagger,1020000,Parrying Dagger,0,2,1
Dagger,1040000,Reduvia,0,2,1
Dagger,1080000,Scorpion's Stinger,0,2,1
Dagger,1100000,Wakizashi,0,2,1
Fist,21000000,Caestus,0,2,35
Fist,21130000,Cipher Pata,0,2,35
Fist,21110000,Clinging Bone,0,2,35
Fist,21540000,Golem Fist,0,2,35
Fist,21070000,Iron Ball,0,2,35
Fist,21100000,Katar,0,2,35
Fist,21530000,Madding Hand,0,2,35
Fist,21510000,Pata,0,2,35
Fist,21520000,Poisoned Hand,0,2,35
Fist,21010000,Spiked Caestus,0,2,35
Fist,21080000,Star Fist,0,2,35
Fist,21500000,Thiollier's Hidden Needle,0,2,35
Fist,21120000,Veteran's Prosthesis,0,2,35
Fist,21060000,Grafted Dragon,0,2,35
Flail,13040000,Chainlink Flail,0,2,24
Flail,13020000,Family Heads,0,2,24
Flail,13010000,Flail,0,2,24
Flail,13000000,Nightrider Flail,0,2,24
Flail,13500000,Serpent Flail,0,2,24
Flail,13510000,Golden Order Flail,0,2,24
Flail,13030000,Bastard's Stars,0,2,24
Great Hammer,12020000,Battle Hammer,0,2,23
Great Hammer,12150000,Beastclaw Greathammer,0,2,23
Great Hammer,12520000,Black Steel Greathammer,0,2,23
Great Hammer,12190000,Brick Hammer,0,2,23
Great Hammer,12130000,Celebrant's Skull,0,2,23
Great Hammer,12170000,Cranial Vessel Candlestand,0,2,23
Great Hammer,12080000,Curved Great Club,0,2,23
Great Hammer,12200000,Devourer's Scepter,0,2,23
Great Hammer,12160000,Envoy's Long Horn,0,2,23
Great Hammer,12060000,Great Mace,0,2,23
Great Hammer,12180000,Great Stars,0,2,23
Great Hammer,12010000,Greathorn Hammer,0,2,23
Great Hammer,12000000,Large Club,0,2,23
