ID,Name,EquipType,Category
21060000,Grafted Dragon,0,2
4050000,Starscourge Greatsword,0,2
8100000,Morgott's Cursed Sword,0,2
3140000,Blasphemous Blade,0,2
17010000,Mohgwyn's Sacred Spear,0,2
4020000,Maliketh's Black Blade,0,2
6040000,Dragon King's Cragblade,0,2
9020000,Hand of Malenia,0,2
11150000,Marika's Hammer,0,2
3100000,Sacred Relic Sword,0,2
23050000,Axe of Godfrey,0,2
23520000,Gazing Finger,0,2
23510000,Shadow Sunflower Blossom,0,2
13030000,Bastard's Stars,0,2
17500000,Spear of the Impaler,0,2
15040000,Axe of Godrick,0,2
8500000,Putrescence Cleaver,0,2
15110000,Winged Greathorn,0,2
42000000,Lion Greatbow,0,2
3510000,Greatsword of Damnation,0,2
18510000,Poleblade of the Bud,0,2
4400039,Sword Lance (Spinning Gravity Thrust),5,6
67520000,Rellana's Twin Blades,0,2
20060000,Giant's Red Braid,0,2
4550000,Greatsword of Radahn (Light),0,2
4530000,Greatsword of Radahn (Lord),0,2
