ID,Name,EquipType,Category
8180,Enraged Divine Beast,2,4
416000,Ash of War: Divine Beast Frost Stomp,4,5
2004320,Rellana's Twin Moons,3,1
2004700,Blades of Stone,3,1
2006200,Vortex of Putrescence,3,1
2006680,Land of Shadow,3,1
2006700,Light of Miquella,3,1
2007200,Rotten Butterflies,3,1
2007300,Midra's Flame of Frenzy,3,1
2007820,Messmer's Orb,3,1
3510000,Greatsword of Damnation,0,2
4400039,Sword Lance (Spinning Gravity Thrust),5,6
4530000,Greatsword of Radahn (Lord),0,2
4550000,Greatsword of Radahn (Light),0,2
8500000,Putrescence Cleaver,0,2
17500000,Spear of the Impaler,0,2
18510000,Poleblade of the Bud,0,2
23510000,Shadow Sunflower Blossom,0,2
23520000,Gazing Finger,0,2
33510000,Staff of the Great Beyond,0,2
67520000,Rellana's Twin Blades,0,2
