ID,Name,Cost,Type,ParamType,EquipType,EventFlagID,SellQuantity
11001,Greenspill Crystal Tear,10000,Physick Tear,Good,3,65010,1
11006,Speckled Hardtear,5000,Physick Tear,Good,3,65060,1
11007,Crimson Bubbletear,10000,Physick Tear,Good,3,65070,1
11008,Opaline Bubbletear,10000,Physick Tear,Good,3,65080,1
11010,Greenburst Crystal Tear,30000,Physick Tear,Good,3,65100,1
11011,Opaline Hardtear,30000,Physick Tear,Good,3,65110,1
11012,Winged Cracked Tear,15000,Physick Tear,Good,3,65120,1
11013,Thorny Cracked Tear,50000,Physick Tear,Good,3,65130,1
11014,Spiked Cracked Tear,40000,Physick Tear,Good,3,65140,1
11019,Twiggy Cracked Tear,10000,Physick Tear,Good,3,65190,1
11020,Crimsonwhorl Bubbletear,5000,Physick Tear,Good,3,65200,1
11021,Strength-knot Crystal Tear,10000,Physick Tear,Good,3,65210,1
11022,Dexterity-knot Crystal Tear,10000,Physick Tear,Good,3,65220,1
11023,Intelligence-knot Crystal Tear,10000,Physick Tear,Good,3,65230,1
11024,Faith-knot Crystal Tear,10000,Physick Tear,Good,3,65240,1
11025,Cerulean Hidden Tear,5000,Physick Tear,Good,3,65250,1
11026,Stonebarb Cracked Tear,30000,Physick Tear,Good,3,65260,1
11028,Flame-Shrouding Cracked Tear,40000,Physick Tear,Good,3,65280,1
11029,Magic-Shrouding Cracked Tear,40000,Physick Tear,Good,3,65290,1
11030,Lightning-Shrouding Cracked Tear,40000,Physick Tear,Good,3,65300,1
11031,Holy-Shrouding Cracked Tear,40000,Physick Tear,Good,3,65310,1
8970,Iron Whetblade,50000,Whetblade,Good,3,65610,1
8971,Red-Hot Whetblade,50000,Whetblade,Good,3,65640,1
8972,Sanctified Whetblade,50000,Whetblade,Good,3,65660,1
8973,Glintstone Whetblade,50000,Whetblade,Good,3,65680,1
8974,Black Whetblade,50000,Whetblade,Good,3,65720,1
1002,Crimson Amber Medallion +2,5000,Talisman,Accessory,2,35007030,1
1012,Cerulean Amber Medallion +2,5000,Talisman,Accessory,2,1035417100,1
1022,Viridian Amber Medallion +2,5000,Talisman,Accessory,2,15007350,1
1032,Great-Jar's Arsenal,10000,Talisman,Accessory,2,400470,1
1042,Erdtree's Favor +2,10000,Talisman,Accessory,2,11057100,1
1150,Green Turtle Talisman,40000,Talisman,Accessory,2,1045397120,1
1191,Prince of Death's Cyst,10000,Talisman,Accessory,2,12037990,1
1201,Mottled Necklace +1,5000,Talisman,Accessory,2,12027620,1
1230,Warrior Jar Shard,50000,Talisman,Accessory,2,400173,1
2000,Magic Scorpion Charm,40000,Talisman,Accessory,2,400141,1
2010,Lightning Scorpion Charm,40000,Talisman,Accessory,2,30077600,1
2020,Fire Scorpion Charm,40000,Talisman,Accessory,2,1035547050,1
2030,Sacred Scorpion Charm,40000,Talisman,Accessory,2,1046407700,1
2050,Ritual Sword Talisman,50000,Talisman,Accessory,2,1038517050,1
2060,Spear Talisman,40000,Talisman,Accessory,2,31057100,1
2080,Winged Sword Insignia,50000,Talisman,Accessory,2,520360,1
2090,Dagger Talisman,40000,Talisman,Accessory,2,16007620,1
2110,Blue Dancer Charm,50000,Talisman,Accessory,2,520350,1
2120,Twinblade Talisman,10000,Talisman,Accessory,2,1043317900,1
2130,Axe Talisman,40000,Talisman,Accessory,2,1045377100,1
2160,Lord of Blood's Exultation,40000,Talisman,Accessory,2,520220,1
2170,Kindred of Rot's Exultation,40000,Talisman,Accessory,2,520390,1
2180,Claw Talisman,30000,Talisman,Accessory,2,10007230,1
2190,Roar Medallion,5000,Talisman,Accessory,2,520610,1
2200,Curved Sword Talisman,5000,Talisman,Accessory,2,10007975,1
2210,Companion Jar,5000,Talisman,Accessory,2,400460,1
2220,Perfumer's Talisman,5000,Talisman,Accessory,2,1036527010,1
3090,Godfrey Icon,40000,Talisman,Accessory,2,1039507100,1
4003,Dragoncrest Greatshield Talisman,30000,Talisman,Accessory,2,15007930,1
4012,Spelldrake Talisman +2,10000,Talisman,Accessory,2,30207060,1
4022,Flamedrake Talisman +2,10000,Talisman,Accessory,2,520440,1
4032,Boltdrake Talisman +2,10000,Talisman,Accessory,2,13007760,1
