Name,HelmID,TorsoID,GauntletsID,GreavesID
Knight,1500000,1500100,1500200,1500300
Royal Knight Set,280000,280100,280200,280300
Black Knife,180000,180100,180200,180300
Carian Knight,980000,980100,980200,980300
Elden Lord,460000,460100,460200,460300
Fingerprint,950000,950100,950200,950300
Godrick Soldier,1700000,1700100,1700200,1700300
Snow Witch,1010000,1010100,,1010300
Nomadic Merchant,250000,250100,,250300
Night's Cavalry,230000,230100,230200,230300
Godskin Apostle,520000,520100,520200,520300
Alberich,120000,120100,120200,120300
Night Maiden,293000,293100,290200,290300
Blue Silver,240000,240100,240200,240300
Raging Wolf,860000,860100,860200,860300
Omen,970000,970100,970200,970300
Rellana's,5260000,5260100,5260200,5260300
Maliketh's,760000,760100,760200,760300
Malenia's,770000,770100,770200,770300
Ronin's,150000,150100,150200,150300
Drake Knight,60000,60100,60200,60300
Cleanrot,340000,340100,340200,340300
Chain,1100000,1100100,1100200,1100300
Zamor,1070000,1070100,1070200,1070300
Traveler,,1020100,1020200,1020300
