ID,Name,EquipType,Category
4411061,Great Katana - Overhead Stance,5,6
15020000,Great Omenkiller Cleaver,0,2
12530000,Bloodfiend's Arm,0,2
21080000,Star Fist,0,2
4800063,Pickaxe - Cragblade,5,6
4409058,Backhand Blade - Blind Spot,5,6
4800062,Milady - Wing Stance,5,6
4800066,Black Steel Greathammer - Prayerful Strike,5,6
4800064,Great Stars - Hoarfrost Stomp,5,6
4520000,Fire Knight's Greatsword,0,2
23000000,Prelate's Inferno Crozier,0,2
22020000,Bloodhound Claws,0,2
21510000,Pata,0,2
4800074,Brick Hammer - Stormcaller,5,6
14520000,Messmer Soldier's Axe,0,2
8510000,Freyja's Greatsword,0,2
4800069,Nightrider Glaive - Flaming Strike,5,6
4800073,Zweihander - Lightning Slash,5,6
4400039,Sword Lance - Spinning Gravity Thrust,5,6
23150000,Rotten Greataxe,0,2
4800061,Grave Scythe - Spinning Weapon,5,6
4800070,Guardian's Swordspear - Piercing Fang,5,6
4800068,Dane's Footwork - Palm Blast,5,6
4800075,Queelign's Greatsword - Storm Blade,5,6
17510000,Messmer Soldier's Spear,0,2
3520000,Lizard Greatsword,0,2
4800072,Black Steel Twinblade - Vacuum Slice,5,6
4800071,Dueling Shield - Giant Hunt,5,6
