ID,Name,EquipType,Category
12510000,Anvil Hammer,0,2
66520000,Rakshasa's Great Katana,0,2
3130000,Helphen's Steeple,0,2
3140000,Blasphemous Blade,0,2
10500000,Euporia,0,2
8030000,Bloodhound's Fang,0,2
23140000,Rotten Staff,0,2
23520000,Gazing Finger,0,2
7510000,Falx,0,2
7070000,Wing of Astel,0,2
23500000,Devonia's Hammer,0,2
7520000,Dancing Blade of Ranah,0,2
22500000,Claws of Night,0,2
4100000,Grafted Blade Greatsword,0,2
4500000,Ancient Meteoric Ore Greatsword,0,2
23510000,Shadow Sunflower Blossom,0,2
66510000,Dragon-Hunter's Great Katana,0,2
3550000,Greatsword of Solitude,0,2
15510000,Bonny Butchering Knife,0,2
7530000,Horned Warrior's Sword,0,2
4540000,Moonrithyll's Knight Sword,0,2
9500000,Sword of Night,0,2
21520000,Poisoned Hand,0,2
8500000,Putrescence Cleaver,0,2
3510000,Greatsword of Damnation,0,2
21530000,Madding Hand,0,2
2200000,Miquellan Knight's Sword,0,2
13500000,Serpent Flail,0,2
18510000,Poleblade of the Bud,0,2
11500000,Flowerstone Gavel,0,2
2520000,Star-Lined Sword,0,2
15500000,Death Knight's Longhaft Axe,0,2
19500000,Obsidian Lamina,0,2
