Name,HelmID,TorsoID,GauntletsID,GreavesID
Omen Set,970000,970100,970200,970300
Omen Set,970000,970100,970200,970300
Divine Bird Set,5253000,5253100,5253200,5253300
Divine Bird Set,5253000,5253100,5253200,5253300
Horned Warrior Set,5250000,5250100,5250200,5250300
Horned Warrior Set,5250000,5250100,5250200,5250300
Divine Beast Warrior Set,5252000,5252100,5250200,5250300
Divine Beast Warrior Set,5252000,5252100,5250200,5250300
Crucible Tree Set,571000,571100,570200,570300
Crucible Axe Set,570000,570100,570200,570300
