ID,Name,Cost,Type,ParamType,EquipType,EventFlagID,SellQuantity
11000,Crimsonspill Crystal Tear,10000,Physick Tear,Good,3,65000,1
11001,Greenspill Crystal Tear,10000,Physick Tear,Good,3,65010,1
11002,Crimson Crystal Tear,10000,Physick Tear,Good,3,65020,1
11003,Crimson Crystal Tear,10000,Physick Tear,Good,3,65030,1
11004,Cerulean Crystal Tear,10000,Physick Tear,Good,3,65040,1
11005,Cerulean Crystal Tear,10000,Physick Tear,Good,3,65050,1
11006,Speckled Hardtear,10000,Physick Tear,Good,3,65060,1
11007,Crimson Bubbletear,10000,Physick Tear,Good,3,65070,1
11008,Opaline Bubbletear,10000,Physick Tear,Good,3,65080,1
11009,Crimsonburst Crystal Tear,10000,Physick Tear,Good,3,65090,1
11010,Greenburst Crystal Tear,10000,Physick Tear,Good,3,65100,1
11011,Opaline Hardtear,10000,Physick Tear,Good,3,65110,1
11012,Winged Cracked Tear,10000,Physick Tear,Good,3,65120,1
11013,Thorny Cracked Tear,10000,Physick Tear,Good,3,65130,1
11014,Spiked Cracked Tear,10000,Physick Tear,Good,3,65140,1
11015,Windy Cracked Tear,10000,Physick Tear,Good,3,65150,1
11016,Ruptured Crystal Tear,10000,Physick Tear,Good,3,65160,1
11017,Ruptured Crystal Tear,10000,Physick Tear,Good,3,65170,1
11018,Leaden Hardtear,10000,Physick Tear,Good,3,65180,1
11019,Twiggy Cracked Tear,10000,Physick Tear,Good,3,65190,1
11020,Crimsonwhorl Bubbletear,10000,Physick Tear,Good,3,65200,1
11021,Strength-knot Crystal Tear,10000,Physick Tear,Good,3,65210,1
11022,Dexterity-knot Crystal Tear,10000,Physick Tear,Good,3,65220,1
11023,Intelligence-knot Crystal Tear,10000,Physick Tear,Good,3,65230,1
11024,Faith-knot Crystal Tear,10000,Physick Tear,Good,3,65240,1
11025,Cerulean Hidden Tear,10000,Physick Tear,Good,3,65250,1
11026,Stonebarb Cracked Tear,10000,Physick Tear,Good,3,65260,1
11027,Purifying Crystal Tear,10000,Physick Tear,Good,3,65270,1
11028,Flame-Shrouding Cracked Tear,10000,Physick Tear,Good,3,65280,1
11029,Magic-Shrouding Cracked Tear,10000,Physick Tear,Good,3,65290,1
11030,Lightning-Shrouding Cracked Tear,10000,Physick Tear,Good,3,65300,1
11031,Holy-Shrouding Cracked Tear,10000,Physick Tear,Good,3,65310,1
8970,Iron Whetblade,50000,Whetblade,Good,3,65610,1
8971,Red-Hot Whetblade,50000,Whetblade,Good,3,65640,1
8972,Sanctified Whetblade,50000,Whetblade,Good,3,65660,1
8973,Glintstone Whetblade,50000,Whetblade,Good,3,65680,1
8974,Black Whetblade,50000,Whetblade,Good,3,65720,1
1002,Crimson Amber Medallion +2,10000,Talisman,Accessory,2,35007030,1
1012,Cerulean Amber Medallion +2,10000,Talisman,Accessory,2,1035417100,1
1022,Viridian Amber Medallion +2,10000,Talisman,Accessory,2,15007350,1
1032,Great-Jar's Arsenal,10000,Talisman,Accessory,2,400470,1
1042,Erdtree's Favor +2,10000,Talisman,Accessory,2,11057100,1
1100,Silver Scarab,10000,Talisman,Accessory,2,30207900,1
1140,Moon of Nokstella,10000,Talisman,Accessory,2,12017960,1
1150,Green Turtle Talisman,40000,Talisman,Accessory,2,1045397120,1
1161,Stalwart Horn Charm +1,10000,Talisman,Accessory,2,1048557600,1
1171,Immunizing Horn Charm +1,10000,Talisman,Accessory,2,12017992,1
1181,Clarifying Horn Charm +1,10000,Talisman,Accessory,2,12027490,1
1191,Prince of Death's Cyst,10000,Talisman,Accessory,2,12037990,1
1201,Mottled Necklace +1,10000,Talisman,Accessory,2,12027620,1
1210,Bull-Goat's Talisman,10000,Talisman,Accessory,2,31107050,1
1231,Shard of Alexander,50000,Talisman,Accessory,2,400174,1
2000,Magic Scorpion Charm,10000,Talisman,Accessory,2,400141,1
2010,Lightning Scorpion Charm,10000,Talisman,Accessory,2,30077600,1
2020,Fire Scorpion Charm,10000,Talisman,Accessory,2,1035547050,1
2030,Sacred Scorpion Charm,10000,Talisman,Accessory,2,1046407700,1
2040,Red-Feathered Branchsword,10000,Talisman,Accessory,2,1037427400,1
2050,Ritual Sword Talisman,50000,Talisman,Accessory,2,1038517050,1
2060,Spear Talisman,10000,Talisman,Accessory,2,31057100,1
