WeaponClass,ID,Name,EquipType,Category,WepType
Backhand Blade,4409058,Backhand Blade - Blind Spot,5,6,92
Backhand Blade,64510000,Smithscript Cirque,0,2,92
Curved Sword,7520000,Dancing Blade of Ranah,0,2,9
Curved Sword,7100000,Eclipse Shotel,0,2,9
Curved Sword,7510000,Falx,0,2,9
Curved Sword,7060000,Flowing Curved Sword,0,2,9
Curved Sword,7530000,Horned Warrior's Sword,0,2,9
Curved Sword,7120000,Mantis Blade,0,2,9
Curved Sword,2080000,Nox Flowing Sword,0,2,9
Curved Sword,7080000,Scavenger's Curved Sword,0,2,9
Curved Sword,7140000,Scimitar,0,2,9
Curved Sword,7110000,Serpent-God's Curved Sword,0,2,9
Curved Sword,7030000,Shamshir,0,2,9
Curved Sword,7020000,Shotel,0,2,9
Curved Sword,7500000,Spirit Sword,0,2,9
Curved Sword,7070000,Wing of Astel,0,2,9
