WeaponClass,ID,Name,EquipType,Category,WepType
Dagger,1010000,Black Knife,0,2,1
Dagger,1160000,Blade of Calling,0,2,1
Dagger,1110000,Cinquedea,0,2,1
Dagger,1050000,Crystal Knife,0,2,1
Dagger,1150000,Erdsteel Dagger,0,2,1
Dagger,1070000,Glintstone Kris,0,2,1
Dagger,1130000,Ivory Sickle,0,2,1
Dagger,1500000,Main-gauche,0,2,1
Dagger,1030000,Misericorde,0,2,1
Dagger,1040000,Reduvia,0,2,1
Dagger,1080000,Scorpion's Stinger,0,2,1
Dagger,1100000,Wakizashi,0,2,1
Throwing Blade,63500000,Smithscript Dagger,0,2,91
