WeaponClass,ID,Name,EquipType,Category,WepType
Fist,21000000,Caestus,0,2,35
Fist,21130000,Cipher Pata,0,2,35
Fist,21110000,Clinging Bone,0,2,35
Fist,5040,Iron Ball - Braggart's Roar,5,6,35
Fist,21100000,Katar,0,2,35
Fist,21530000,Madding Hand,0,2,35
Fist,21510000,Pata,0,2,35
Fist,21520000,Poisoned Hand,0,2,35
Fist,21010000,Spiked Caestus,0,2,35
Fist,21080000,Star Fist,0,2,35
Fist,21500000,Thiollier's Hidden Needle,0,2,35
Fist,21120000,Veteran's Prosthesis,0,2,35
Hand-to-Hand Arts,60510000,Dane's Footwork,0,2,88
Hand-to-Hand Arts,4401055,Dryleaf Arts - Palm Blast,5,6,88
