WeaponClass,ID,Name,EquipType,Category,WepType
Greatshield,32220000,Ant's Skull Plate,0,2,69
Greatshield,32500000,Black Steel Greatshield,0,2,69
Greatshield,32050000,Briar Greatshield,0,2,69
Greatshield,32030000,Crucible Hornshield,0,2,69
Greatshield,32000000,Dragon Towershield,0,2,69
Greatshield,32040000,Dragonclaw Shield,0,2,69
Greatshield,32080000,Erdtree Greatshield,0,2,69
Greatshield,32130000,Fingerprint Stone Shield,0,2,69
Greatshield,32090000,Golden Beast Crest Shield,0,2,69
Greatshield,32140000,Icon Shield,0,2,69
Greatshield,32120000,Jellyfish Shield,0,2,69
Greatshield,32190000,Manor Towershield,0,2,69
Greatshield,32150000,One-Eyed Shield,0,2,69
Greatshield,32170000,Spiked Palisade Shield,0,2,69
Greatshield,32520000,Verdigris Greatshield,0,2,69
Greatshield,32160000,Visage Shield,0,2,69
Greatshield,32290000,Wooden Greatshield,0,2,69
