WeaponClass,ID,Name,EquipType,Category,WepType
Halberd,5000,Banished Knight's Halberd +8 - Spinning Strikes,5,6,29
Halberd,18040000,Commander's Standard,0,2,29
Halberd,18140000,Dragon Halberd,0,2,29
Halberd,18160000,Gargoyle's Black Halberd,0,2,29
Halberd,18150000,Gargoyle's Halberd,0,2,29
Halberd,18080000,Golden Halberd,0,2,29
Halberd,18000000,Halberd,0,2,29
Halberd,18100000,Loretta's War Sickle,0,2,29
Halberd,18020000,Lucerne,0,2,29
Halberd,18050000,Nightrider Glaive,0,2,29
Halberd,18500000,Spirit Glaive,0,2,29
