WeaponClass,ID,Name,EquipType,Category,WepType
Great Katana,66510000,Dragon-Hunter's Great Katana,0,2,94
Great Katana,4411061,Great Katana - Overhead Stance,5,6,94
Great Katana,66520000,Rakshasa's Great Katana,0,2,94
Katana,9070000,Dragonscale Blade,0,2,13
Katana,9030000,Meteoric Ore Blade,0,2,13
Katana,9060000,Moonveil,0,2,13
Katana,5030,Nagakiba +0 - Piercing Fang,5,6,13
Katana,9040000,Rivers of Blood,0,2,13
Katana,9080000,Serpentbone Blade,0,2,13
Katana,2520000,Star-Lined Sword,0,2,13
Katana,9500000,Sword of Night,0,2,13
Katana,9000000,Uchigatana,0,2,13
