WeaponClass,ID,Name,EquipType,Category,WepType
Medium Shield,31280000,Beast Crest Heater Shield,0,2,67
Medium Shield,31250000,Candletree Wooden Shield,0,2,67
Medium Shield,31190000,Carian Knight's Shield,0,2,67
Medium Shield,31310000,Eclipse Crest Heater Shield,0,2,67
Medium Shield,31260000,Flame Crest Wooden Shield,0,2,67
Medium Shield,31530000,Golden Lion Shield,0,2,67
Medium Shield,31140000,Great Turtle Shell,0,2,67
Medium Shield,31270000,Hawk Crest Wooden Shield,0,2,67
Medium Shield,31320000,Inverted Hawk Heater Shield,0,2,67
Medium Shield,31010000,Marred Leather Shield,0,2,67
Medium Shield,31020000,Marred Wooden Shield,0,2,67
Medium Shield,31520000,Serpent Crest Shield,0,2,67
Medium Shield,31060000,Silver Mirrorshield,0,2,67
Medium Shield,31090000,Twinbird Kite Shield,0,2,67
Medium Shield,31510000,Wolf Crest Shield,0,2,67
