WeaponClass,ID,Name,EquipType,Category,WepType
Small Shield,30100000,Blue-White Wooden Shield,0,2,65
Small Shield,30000000,Buckler,0,2,65
Small Shield,30200000,Coil Shield,0,2,65
Small Shield,30130000,Gilded Iron Shield,0,2,65
Small Shield,30140000,Ice Crest Shield,0,2,65
Small Shield,30120000,Iron Roundshield,0,2,65
Small Shield,30040000,Pillory Shield,0,2,65
Small Shield,30070000,Red Thorn Roundshield,0,2,65
Small Shield,30110000,Rift Shield,0,2,65
Small Shield,30090000,Riveted Wooden Shield,0,2,65
Small Shield,21550000,Shield of Night,0,2,65
Small Shield,31170000,Shield of the Guilty,0,2,65
Small Shield,30510000,Smithscript Shield,0,2,65
Small Shield,30150000,Smoldering Shield,0,2,65
Small Shield,30190000,Spiralhorn Shield,0,2,65
