WeaponClass,ID,Name,EquipType,Category,WepType
Incantation,7530,Black Blade,3,1,0
Incantation,6310,Bloodboon,3,1,0
Incantation,6120,Burn- O Flame!,3,1,0
Incantation,5040,Death Lightning,3,1,0
Incantation,6941,Fortissax's Lightning Spear,3,1,0
Incantation,2006680,Land of Shadow,3,1,0
Incantation,2006700,Light of Miquella,3,1,0
Incantation,2007820,Messmer's Orb,3,1,0
Incantation,2007300,Midra's Flame of Frenzy,3,1,0
Incantation,7050,Placidusax's Ruin,3,1,0
Incantation,2007200,Rotten Butterflies,3,1,0
Incantation,7240,Scarlet Aeonia,3,1,0
