WeaponClass,ID,Name,EquipType,Category,WepType
Colossal Weapon,12510000,Anvil Hammer,0,2,41
Colossal Weapon,12530000,Bloodfiend's Arm,0,2,41
Colossal Weapon,23500000,Devonia's Hammer,0,2,41
Colossal Weapon,23060000,Dragon Greatclaw,0,2,41
Colossal Weapon,23080000,Fallingstar Beast Jaw,0,2,41
Colossal Weapon,23100000,Ghiza's Wheel,0,2,41
Colossal Weapon,23110000,Giant-Crusher,0,2,41
Colossal Weapon,23020000,Great Club,0,2,41
Colossal Weapon,23000000,Prelate's Inferno Crozier,0,2,41
Colossal Weapon,23150000,Rotten Greataxe,0,2,41
Colossal Weapon,23140000,Rotten Staff,0,2,41
Colossal Weapon,23070000,Staff of the Avatar,0,2,41
Colossal Weapon,23130000,Troll's Hammer,0,2,41
Colossal Weapon,23010000,Watchdog's Staff,0,2,41
