WeaponClass,ID,Name,EquipType,Category,WepType
Great Hammer,12150000,Beastclaw Greathammer,0,2,23
Great Hammer,12520000,Black Steel Greathammer,0,2,23
Great Hammer,12190000,Brick Hammer,0,2,23
Great Hammer,12130000,Celebrant's Skull,0,2,23
Great Hammer,12170000,Cranial Vessel Candlestand,0,2,23
Great Hammer,12200000,Devourer's Scepter,0,2,23
Great Hammer,12060000,Great Mace,0,2,23
Great Hammer,12180000,Great Stars,0,2,23
Great Hammer,12000000,Large Club,0,2,23
Great Hammer,12210000,Rotten Battle Hammer,0,2,23
Great Hammer,12500000,Smithscript Greathammer,0,2,23
