WeaponClass,ID,Name,EquipType,Category,WepType
Greatsword,3070000,Alabaster Lord's Sword,0,2,5
Greatsword,3000000,Bastard Sword,0,2,5
Greatsword,3180000,Claymore,0,2,5
Greatsword,3090000,Dark Moon Greatsword,0,2,5
Greatsword,3200000,Death's Poker,0,2,5
Greatsword,3050000,Flamberge,0,2,5
Greatsword,3210000,Gargoyle's Blackblade,0,2,5
Greatsword,3190000,Gargoyle's Greatsword,0,2,5
Greatsword,3170000,Golden Order Greatsword,0,2,5
Greatsword,3550000,Greatsword of Solitude,0,2,5
Greatsword,3130000,Helphen's Steeple,0,2,5
Greatsword,2090000,Inseparable Sword,0,2,5
Greatsword,3030000,Lordsworn's Greatsword,0,2,5
Greatsword,3150000,Marais Executioner's Sword,0,2,5
Greatsword,3060000,Ordovis's Greatsword,0,2,5
Greatsword,3160000,Sword of Milos,0,2,5
Greatsword,3560000,Leontiel's Greatsword,0,2,5
Light Greatsword,67510000,Leda's Sword,0,2,93
Light Greatsword,67500000,Milady,0,2,93
Light Greatsword,67530000,Idus Sword,0,2,93
