WeaponClass,ID,Name,EquipType,Category,WepType
Medium Shield,31280000,Beast Crest Heater Shield,0,2,67
Medium Shield,31340000,Black Leather Shield,0,2,67
Medium Shield,31300000,Blue Crest Heater Shield,0,2,67
Medium Shield,31100000,Blue-Gold Kite Shield,0,2,67
Medium Shield,31250000,Candletree Wooden Shield,0,2,67
Medium Shield,31190000,Carian Knight's Shield,0,2,67
Medium Shield,31310000,Eclipse Crest Heater Shield,0,2,67
Medium Shield,31260000,Flame Crest Wooden Shield,0,2,67
Medium Shield,31530000,Golden Lion Shield,0,2,67
Medium Shield,31140000,Great Turtle Shell,0,2,67
Medium Shield,31270000,Hawk Crest Wooden Shield,0,2,67
Medium Shield,31330000,Heater Shield,0,2,67
Medium Shield,31240000,Horse Crest Wooden Shield,0,2,67
Medium Shield,31320000,Inverted Hawk Heater Shield,0,2,67
Medium Shield,31000000,Kite Shield,0,2,67
Medium Shield,31230000,Large Leather Shield,0,2,67
Medium Shield,31010000,Marred Leather Shield,0,2,67
Medium Shield,31020000,Marred Wooden Shield,0,2,67
Medium Shield,31290000,Red Crest Heater Shield,0,2,67
Medium Shield,31070000,Round Shield,0,2,67
Medium Shield,31080000,Scorpion Kite Shield,0,2,67
Medium Shield,31520000,Serpent Crest Shield,0,2,67
Medium Shield,31060000,Silver Mirrorshield,0,2,67
Medium Shield,31090000,Twinbird Kite Shield,0,2,67
Medium Shield,31510000,Wolf Crest Shield,0,2,67
Medium Shield,31540000,Silver Grooved Shield,0,2,67
