WeaponClass,ID,Name,EquipType,Category,WepType
Straight Sword,2020000,Broadsword,0,2,3
Straight Sword,2210000,Cane Sword,0,2,3
Straight Sword,2180000,Carian Knight's Sword,0,2,3
Straight Sword,2110000,Coded Sword,0,2,3
Straight Sword,2150000,Crystal Sword,0,2,3
Straight Sword,2070000,Golden Epitaph,0,2,3
Straight Sword,2000000,Longsword,0,2,3
Straight Sword,2200000,Miquellan Knight's Sword,0,2,3
Straight Sword,2060000,Ornamental Straight Sword,0,2,3
Straight Sword,2220000,Regalia of Eochaid,0,2,3
Straight Sword,2260000,Rotten Crystal Sword,0,2,3
Straight Sword,2010000,Short Sword,0,2,3
Straight Sword,2540000,Stone-Sheathed Sword,0,2,3
Straight Sword,2560000,Sword of Darkness,0,2,3
Straight Sword,2550000,Sword of Light,0,2,3
Straight Sword,2140000,Sword of Night and Flame,0,2,3
Straight Sword,2190000,Sword of St. Trina,0,2,3
Straight Sword,2510000,Velvet Sword of St. Trina,0,2,3
