WeaponClass,ID,Name,EquipType,Category,WepType
Colossal Sword,4550000,Greatsword of Radahn (Light),0,2,7
Colossal Sword,4530000,Greatsword of Radahn (Lord),0,2,7
Colossal Sword,4020000,Maliketh's Black Blade,0,2,7
Colossal Sword,4050000,Starscourge Greatsword,0,2,7
Colossal Weapon,23050000,Axe of Godfrey,0,2,41
Colossal Weapon,23520000,Gazing Finger,0,2,41
Colossal Weapon,23510000,Shadow Sunflower Blossom,0,2,41
Curved Greatsword,8100000,Morgott's Cursed Sword,0,2,11
Fist,21060000,Grafted Dragon,0,2,35
Flail,13030000,Bastard's Stars,0,2,24
Great Spear,17010000,Mohgwyn's Sacred Spear,0,2,28
Great Spear,17500000,Spear of the Impaler,0,2,28
Greataxe,15040000,Axe of Godrick,0,2,19
Greataxe,8500000,Putrescence Cleaver,0,2,19
Greataxe,15110000,Winged Greathorn,0,2,19
Greatbow,42000000,Lion Greatbow,0,2,53
Greatsword,3140000,Blasphemous Blade,0,2,5
Greatsword,3510000,Greatsword of Damnation,0,2,5
Greatsword,3100000,Sacred Relic Sword,0,2,5
Halberd,18510000,Poleblade of the Bud,0,2,29
Hammer,11150000,Marika's Hammer,0,2,21
Heavy Thrusting Sword,6040000,Dragon King's Cragblade,0,2,16
Heavy Thrusting Sword,4400039,Sword Lance (Spinning Gravity Thrust),5,6,16
Katana,9020000,Hand of Malenia,0,2,13
Light Greatsword,67520000,Rellana's Twin Blades,0,2,93
Whip,20060000,Giant's Red Braid,0,2,39
Glintstone Staff,33090000,Carian Regal Scepter,0,2,57
Glintstone Staff,33510000,Staff of the Great Beyond,0,2,57
