WeaponClass,ID,Name,EquipType,Category,WepType
Axe,14000000,Battle Axe,0,2,17
Axe,14020000,Hand Axe,0,2,17
Axe,14050000,Ripple Blade,0,2,17
Backhand Blade,64530000,Reverse-Bladed Sword,0,2,92
Bow,41000000,Longbow,0,2,51
Colossal Sword,4040000,Zweihander,0,2,7
Crossbow,43020000,Light Crossbow,0,2,55
Curved Greatsword,8530000,Hefty Scimitar,0,2,11
Curved Sword,7140000,Scimitar,0,2,9
Curved Sword,7020000,Shotel,0,2,9
Dagger,1000000,Dagger,0,2,1
Dagger,1020000,Parrying Dagger,0,2,1
Fist,21000000,Caestus,0,2,35
Fist,21010000,Spiked Caestus,0,2,35
Greatshield,32200000,Crossed-Tree Towershield,0,2,69
Greatshield,32020000,Distinguished Greatshield,0,2,69
Greatsword,3000000,Bastard Sword,0,2,5
Halberd,18000000,Halberd,0,2,29
Hammer,11010000,Club,0,2,21
Hammer,11000000,Mace,0,2,21
Light Bow,40050000,Composite Bow,0,2,50
Light Bow,40000000,Shortbow,0,2,50
Medium Shield,31340000,Black Leather Shield,0,2,67
Medium Shield,31300000,Blue Crest Heater Shield,0,2,67
Medium Shield,31100000,Blue-Gold Kite Shield,0,2,67
Medium Shield,31330000,Heater Shield,0,2,67
Medium Shield,31240000,Horse Crest Wooden Shield,0,2,67
Medium Shield,31000000,Kite Shield,0,2,67
Medium Shield,31230000,Large Leather Shield,0,2,67
Medium Shield,31290000,Red Crest Heater Shield,0,2,67
Medium Shield,31070000,Round Shield,0,2,67
Medium Shield,31080000,Scorpion Kite Shield,0,2,67
Medium Shield,31540000,Silver Grooved Shield,0,2,67
Perfume Bottle,61540000,Deadly Poison Perfume Bottle,0,2,89
Small Shield,30000000,Buckler,0,2,65
Small Shield,30120000,Iron Roundshield,0,2,65
Small Shield,30070000,Red Thorn Roundshield,0,2,65
Small Shield,30110000,Rift Shield,0,2,65
Small Shield,30090000,Riveted Wooden Shield,0,2,65
Spear,16000000,Short Spear,0,2,25
Straight Sword,2020000,Broadsword,0,2,3
Straight Sword,2000000,Longsword,0,2,3
Straight Sword,2010000,Short Sword,0,2,3
Thrusting Sword,5000000,Estoc,0,2,15
Thrusting Sword,5020000,Rapier,0,2,15
Torch,24000000,Torch,0,2,87
