ID,Name,EquipType,Category
4000,Glintstone Pebble,3,1
4001,Great Glintstone Shard,3,1
4010,Swift Glintstone Shard,3,1
4020,Glintstone Cometshard,3,1
4021,Comet,3,1
4030,Shard Spiral,3,1
4040,Glintstone Stars,3,1
4050,Star Shower,3,1
4060,Crystal Barrage,3,1
4070,Glintstone Arc,3,1
4080,Cannon of Haima,3,1
4090,Crystal Burst,3,1
4100,Shatter Earth,3,1
4110,Rock Blaster,3,1
4120,Gavel of Haima,3,1
4130,Terra Magica,3,1
4140,Starlight,3,1
4200,Comet Azur,3,1
4210,Founding Rain of Stars,3,1
4220,Stars of Ruin,3,1
4300,Glintblade Phalanx,3,1
4301,Carian Phalanx,3,1
4302,Greatblade Phalanx,3,1
4361,Ranni's Dark Moon,3,1
4370,Magic Downpour,3,1
4380,Loretta's Greatbow,3,1
4381,Loretta's Mastery,3,1
4390,Magic Glintblade,3,1
4400,Glintstone Icecrag,3,1
4410,Zamor Ice Storm,3,1
4420,Freezing Mist,3,1
4430,Carian Greatsword,3,1
4431,Adula's Moonblade,3,1
4440,Carian Slicer,3,1
4450,Carian Piercer,3,1
4460,Scholar's Armament,3,1
4470,Scholar's Shield,3,1
4480,Lucidity,3,1
4490,Frozen Armament,3,1
4500,Shattering Crystal,3,1
4510,Crystal Release,3,1
4520,Crystal Torrent,3,1
4600,Ambush Shard,3,1
4610,Night Shard,3,1
4620,Night Comet,3,1
4630,Thops's Barrier,3,1
4640,Carian Retaliation,3,1
4650,Eternal Darkness,3,1
4660,Unseen Blade,3,1
4670,Unseen Form,3,1
4700,Meteorite,3,1
4701,Meteorite of Astel,3,1
4710,Rock Sling,3,1
4720,Gravity Well,3,1
4721,Collapsing Stars,3,1
4800,Magma Shot,3,1
4810,Gelmir's Fury,3,1
4820,Roiling Magma,3,1
4900,Briars of Sin,3,1
4910,Briars of Punishment,3,1
5000,Rancorcall,3,1
5001,Ancient Death Rancor,3,1
5010,Explosive Ghostflame,3,1
5020,Fia's Mist,3,1
5030,Tibia's Summons,3,1
5100,Oracle Bubbles,3,1
5110,Great Oracular Bubble,3,1
6500,Night Maiden's Mist,3,1
2004300,Miriam's Vanishing,3,1
2004310,Glintblade Trio,3,1
2004500,Glintstone Nail,3,1
2004510,Glintstone Nails,3,1
2004710,Gravitational Missile,3,1
2004900,Mantle of Thorns,3,1
2004910,Impenetrable Thorns,3,1
2005000,Rings of Spectral Light,3,1
2006210,Mass of Putrescence,3,1
2007410,Fleeting Microcosm,3,1
2007420,Cherishing Fingers,3,1
